"","sa2_area","total_pop","male","female","overseas","childcare","employ","oc_positive","oc_negative","sp_male","sp_female","sp_total","student","age0","age10","age20","age30","age40","age50","age60","age70","age80","age90","age100","below_median_inc","above_median_rent","yr12_perc","bach_perc","IRSD","IRSAD","major_cities","inner_regional","outer_regional","remote","very_remote","SA2_MAINCODE_2016","SA2_5DIGIT","GCC_NAME","time_to_orange","time_to_nowra","time_to_canberra","time_to_port","time_to_rpa","time_to_westmead","shortest_time"
"20","Moruya - Tuross Head",7968,49.6987951807229,50.238453815261,21.5110441767068,17.2063253012048,2.61044176706827,74.4099708300186,2.33359851498276,0.96636546184739,3.21285140562249,4.17921686746988,16.3654618473896,671,817,507,600,885,1363,1584,1035,441,53,0,0.724476266242376,0.0156457173163617,0.32605421686747,0.124497991967871,"4","3",0,0.664545213471228,0.336250331477062,0,0,101041026,11026,"Rest of NSW",19600.2966896552s (~5.44 hours),8019.39668965517s (~2.23 hours),9987.49668965517s (~2.77 hours),32214.0966896552s (~8.95 hours),15813.0966896552s (~4.39 hours),16186.7966896552s (~4.5 hours),8019.39668965517s (~2.23 hours)
"21","Narooma - Bermagui",8979,49.1591491257378,50.8297137765898,23.4435906002896,15.4694286668894,1.97126628800535,70.856102003643,1.98087431693989,0.768459739391914,2.90678249248246,3.67524223187437,14.2443479229313,735,747,503,594,838,1380,2120,1289,609,152,3,0.710382513661202,0.00979052823315118,0.321193896870476,0.125515090767346,"3","3",0,0,1,0,0,101041027,11027,"Rest of NSW",21729.6807156393s (~6.04 hours),10148.7807156393s (~2.82 hours),12116.8807156393s (~3.37 hours),34343.4807156393s (~9.54 hours),17942.4807156393s (~4.98 hours),18316.1807156393s (~5.09 hours),10148.7807156393s (~2.82 hours)
"22","Goulburn",22890,50.0087374399301,49.9868938401048,16.3652249890782,21.8741808650066,3.07121013543032,73.0765248006627,2.60950605778192,0.961118392311053,4.13280908693753,5.09392747924858,20.6028833551769,2875,2642,2905,2828,2869,2984,2641,1895,1029,225,3,0.656000828414621,0.0335507921714818,0.28344255133246,0.0882918304936654,"3","3",0,1,0,0,0,101051539,11539,"Rest of NSW",10447.0675656804s (~2.9 hours),6751.32934450554s (~1.88 hours),4760.75321637427s (~1.32 hours),24582.3293445055s (~6.83 hours),8499.62934450554s (~2.36 hours),8287.32934450554s (~2.3 hours),4760.75321637427s (~1.32 hours)
"23","Goulburn Region",12673,51.6610115994634,48.346879191983,18.6617217706936,21.3840448196954,2.02793340172019,71.8744159970099,2.39207624743039,0.654935690049712,2.375128225361,3.03006391541072,20.1057366053815,1377,1604,968,1136,1679,2097,2038,1214,490,65,0,0.606241823958139,0.0128947860213044,0.290933480628107,0.103132644204214,"5","5",0,0.877592973276023,0.122593907680807,0,0,101051540,11540,"Rest of NSW",10567.6906114055s (~2.94 hours),8027.3615122993s (~2.23 hours),6434.85870442142s (~1.79 hours),25929.9994384244s (~7.2 hours),9847.6291386538s (~2.74 hours),9635.00048248042s (~2.68 hours),6434.85870442142s (~1.79 hours)
"24","Yass",6502,47.9698554290987,52.0916641033528,15.2414641648723,23.7619194094125,1.5841279606275,74.0127867619406,2.82060925159835,0.799753921870194,3.19901568748078,3.99876960935097,23.1774838511227,900,807,672,736,872,837,761,500,331,79,8,0.584806318164724,0.0353516359533659,0.349738541987081,0.130729006459551,"6","5",0,1,0,0,0,101061541,11541,"Rest of NSW",10715.3993405919s (~2.98 hours),10277.7283545468s (~2.85 hours),3591.32044165005s (~59.86 minutes),28108.7283545468s (~7.81 hours),12026.0283545469s (~3.34 hours),11813.7283545469s (~3.28 hours),3591.32044165005s (~59.86 minutes)
"25","Yass Region",11508,50.104275286757,49.9044143204727,18.4914841849148,24.9913103927702,1.50330205074731,75.8137432188065,2.32820976491863,0.643030935001738,1.83350712547793,2.47653806047967,25.2867570385819,1525,1651,877,1141,2021,1796,1492,765,205,34,0,0.441003616636528,0.0309674502712477,0.440389294403893,0.20846367744178,"9","9",0.0458860759493671,0.923372513562387,0.0298372513562387,0,0,101061542,11542,"Rest of NSW",12037.3598990514s (~3.34 hours),10772.1396919328s (~2.99 hours),3492.07369245496s (~58.2 minutes),28603.2631798799s (~7.95 hours),12520.5631798799s (~3.48 hours),12308.2631798799s (~3.42 hours),3492.07369245496s (~58.2 minutes)
"26","Young",10604,48.1893625047152,51.8106374952848,14.1361750282912,21.397585816673,2.61222180309317,73.3903647005853,1.82350292660964,0.688419464353074,4.36627687665032,5.05469634100339,22.529234251226,1522,1429,1069,1154,1236,1332,1307,938,504,106,3,0.723097703737055,0.00540297163439892,0.240286684270087,0.0755375330064127,"2","2",0,1,0,0,0,101061543,11543,"Rest of NSW",8090.61793806647s (~2.25 hours),15141.7415785499s (~4.21 hours),8844.64157854985s (~2.46 hours),32972.7415785498s (~9.16 hours),16890.0415785498s (~4.69 hours),16677.7415785498s (~4.63 hours),8090.61793806647s (~2.25 hours)
"27","Young Region",7323,50.3891847603441,49.624470845282,14.8572989212072,19.0495698484228,2.14393008329919,73.3554616777308,1.84067592033796,0.8603031544449,2.88133278710911,3.74163594155401,19.582138467841,831,836,620,611,907,1133,1227,785,318,60,3,0.671092335546168,0.0012070006035003,0.270107879284446,0.0835723064317903,"3","3",0,0.652082076041038,0.346409173204587,0,0,101061544,11544,"Rest of NSW",9313.01332062108s (~2.59 hours),13885.1356306184s (~3.86 hours),7651.96642604195s (~2.13 hours),31637.0504903296s (~8.79 hours),15623.4637019886s (~4.34 hours),15354.4349632253s (~4.27 hours),7651.96642604195s (~2.13 hours)
"28","Avoca Beach - Copacabana",7315,50.2392344497608,49.8017771701982,22.488038277512,27.8058783321941,2.84347231715653,73.6040609137056,1.63161711385062,0.997949419002051,3.34928229665072,4.34723171565277,28.0656185919344,982,1136,649,767,1150,1106,861,476,147,28,0,0.515228426395939,0.131254532269761,0.444839371155161,0.206425153793575,"9","9",1,0,0,0,0,102011028,11028,"Greater Sydney",16934.589773038s (~4.7 hours),12864.089773038s (~3.57 hours),17092.489773038s (~4.75 hours),14726.7725458026s (~4.09 hours),5560.88977303801s (~1.54 hours),4959.38977303801s (~1.38 hours),4959.38977303801s (~1.38 hours)
"29","Box Head - MacMasters Beach",10688,48.9333832335329,51.0572604790419,20.2095808383234,24.9251497005988,2.18001497005988,77.3267548777753,1.86140390222023,0.683008982035928,2.9940119760479,3.67702095808383,22.5486526946108,1205,1317,836,922,1445,1599,1725,1123,439,80,0,0.596322045301637,0.0639156761605741,0.400074850299401,0.168226047904192,"8","7",1,0,0,0,0,102011029,11029,"Greater Sydney",16812.6153120329s (~4.67 hours),12742.1153120329s (~3.54 hours),16970.5153120329s (~4.71 hours),14942.6057642003s (~4.15 hours),5438.91531203288s (~1.51 hours),4837.41531203288s (~1.34 hours),4837.41531203288s (~1.34 hours)
"30","Calga - Kulnura",4703,52.3495641080162,47.6504358919838,26.1109929832022,21.2417605783542,1.87114607697215,60.8564231738035,3.17380352644836,0.680416755262598,2.0412502657878,2.72166702105039,20.2636614926643,447,610,438,427,722,828,666,401,143,23,0,0.551637279596977,0.0503778337531486,0.347225175419945,0.128003402083776,"6","7",0.089168765743073,0.906801007556675,0,0,0,102011030,11030,"Greater Sydney",15852.5187820513s (~4.4 hours),11958.7887606838s (~3.32 hours),16158.1274145299s (~4.49 hours),14271.9666880342s (~3.96 hours),4671.87794871795s (~1.3 hours),4052.98867521368s (~1.13 hours),4052.98867521368s (~1.13 hours)
"31","Erina - Green Point",13950,46.5663082437276,53.4480286738351,26.5376344086022,21.7634408602151,2.2078853046595,77.826011460323,1.51067893731551,0.767025089605735,3.06093189964158,3.82795698924731,21.5412186379928,1379,1710,1181,1147,1711,1856,1794,1577,1228,366,6,0.618162875499219,0.0784858482375412,0.375125448028674,0.154193548387097,"6","7",1,0,0,0,0,102011031,11031,"Greater Sydney",16271.7221991255s (~4.52 hours),12201.2221991255s (~3.39 hours),16429.6221991255s (~4.56 hours),14246.4416600961s (~3.96 hours),4898.02219912551s (~1.36 hours),4296.52219912551s (~1.19 hours),4296.52219912551s (~1.19 hours)
"32","Gosford - Springfield",18802,48.431017976811,51.5583448569301,28.5927029039464,22.2795447292841,3.64854802680566,62.8442945474986,3.54131534569983,0.914796298266142,4.73353898521434,5.64833528348048,21.3700670141474,2170,1881,2662,2577,2397,2564,2135,1367,818,228,0,0.624395727937043,0.13513209668353,0.411179661738113,0.16647165195192,"4","5",1,0,0,0,0,102011032,11032,"Greater Sydney",15918.6663656645s (~4.42 hours),11848.1663656645s (~3.29 hours),16076.5663656645s (~4.47 hours),13939.8314671199s (~3.87 hours),4544.96636566451s (~1.26 hours),3943.46636566451s (~1.1 hours),3943.46636566451s (~1.1 hours)
"33","Kariong",6381,50.7757404795487,49.2869456198088,22.4572950948127,24.7139946716816,3.27534869142768,73.4052111410602,3.05480682839173,0.908948440683278,3.43206393982134,4.34101238050462,28.5065036828083,921,1061,797,868,973,900,482,256,115,16,0,0.581761006289308,0.138814016172507,0.36310923052813,0.107506660398057,"7","7",1,0,0,0,0,102011033,11033,"Greater Sydney",15440.6458274399s (~4.29 hours),11370.1458274399s (~3.16 hours),15598.5458274399s (~4.33 hours),13667.6458274399s (~3.8 hours),4066.94582743989s (~1.13 hours),3465.44582743989s (~57.76 minutes),3465.44582743989s (~57.76 minutes)
"34","Kincumber - Picketts Valley",7308,45.7854406130268,54.1735084838533,20.1012588943623,22.5369458128079,2.57252326217843,76.0304375396322,1.99746353836398,0.779967159277504,4.11877394636015,4.89874110563766,21.7296113847838,815,841,690,682,864,889,833,853,686,159,0,0.674381737476221,0.0659480025364616,0.344553913519431,0.122742200328407,"5","5",1,0,0,0,0,102011034,11034,"Greater Sydney",16608.663424338s (~4.61 hours),12538.163424338s (~3.48 hours),16766.563424338s (~4.66 hours),14586.6074770202s (~4.05 hours),5234.96342433804s (~1.45 hours),4633.46342433804s (~1.29 hours),4633.46342433804s (~1.29 hours)
"35","Narara",6642,48.6901535682023,51.1894007828967,21.0779885576634,26.1517615176152,2.95091839807287,74.342879560612,3.68772067477442,0.858175248419151,4.48660042155977,5.34477566997892,25.3688647997591,886,873,852,777,942,996,757,374,144,31,0,0.627304825421734,0.0812083169870537,0.380909364649202,0.135953026196929,"6","6",1,0,0,0,0,102011035,11035,"Greater Sydney",15963.1708559373s (~4.43 hours),11892.6708559373s (~3.3 hours),16121.0708559373s (~4.48 hours),13613.9161392405s (~3.78 hours),4589.47085593731s (~1.27 hours),3987.97085593731s (~1.11 hours),3987.97085593731s (~1.11 hours)
"36","Niagara Park - Lisarow",8027,49.3085835305843,50.6914164694157,19.3721190980441,26.8219758315685,2.96499314812508,75.7310924369748,2.48739495798319,0.809767036252647,3.28889996262614,4.09866699887878,27.1707985548773,1067,1189,890,930,1162,1169,878,432,238,64,0,0.610084033613445,0.0860504201680672,0.382334620655288,0.140027407499689,"7","7",1,0,0,0,0,102011036,11036,"Greater Sydney",16181.9607004861s (~4.49 hours),12111.4607004861s (~3.36 hours),16339.8607004861s (~4.54 hours),13376.0903901284s (~3.72 hours),4808.2607004861s (~1.34 hours),4206.7607004861s (~1.17 hours),4206.7607004861s (~1.17 hours)
"37","Point Clare - Koolewong",6207,48.5903012727566,51.4580312550346,23.3446109231513,23.8762687288545,3.12550346383116,76.1142857142857,1.9047619047619,0.757209602062188,3.52827452875785,4.28548413082004,23.4412759787337,750,705,566,673,898,920,705,630,296,55,3,0.629714285714286,0.108571428571429,0.411309811503142,0.17335266634445,"7","7",1,0,0,0,0,102011037,11037,"Greater Sydney",15855.0086483024s (~4.4 hours),11784.5086483024s (~3.27 hours),16012.9086483024s (~4.45 hours),14082.0086483024s (~3.91 hours),4481.30864830237s (~1.24 hours),3879.80864830237s (~1.08 hours),3879.80864830237s (~1.08 hours)
"38","Saratoga - Davistown",6979,48.4453360080241,51.5833213927497,17.9395328843674,26.0925634044992,2.23527726035249,74.9466192170819,2.63345195729537,0.87405072359937,3.16664278549936,4.04069350909873,22.8829345178392,927,840,689,790,887,937,869,642,347,55,0,0.609608540925267,0.0761565836298932,0.357930935664135,0.130821034532168,"8","7",1,0,0,0,0,102011038,11038,"Greater Sydney",16575.3901061084s (~4.6 hours),12504.8901061084s (~3.47 hours),16733.2901061084s (~4.65 hours),14678.1901061084s (~4.08 hours),5201.6901061084s (~1.44 hours),4600.1901061084s (~1.28 hours),4600.1901061084s (~1.28 hours)
"39","Terrigal - North Avoca",13345,49.0445859872611,50.962907455976,24.1288872236793,24.8632446609217,2.61521168977145,74.1556534508076,2.0374449339207,0.734357437242413,3.19970026227051,3.93405769951293,24.1738478831023,1567,1658,1556,1503,1814,1875,1782,1101,425,64,0,0.519640234948605,0.169787077826725,0.455226676657924,0.209216935181716,"9","9",1,0,0,0,0,102011039,11039,"Greater Sydney",16504.3445803016s (~4.58 hours),12433.8445803016s (~3.45 hours),16662.2445803016s (~4.63 hours),14187.1819893481s (~3.94 hours),5130.64458030155s (~1.43 hours),4529.14458030155s (~1.26 hours),4529.14458030155s (~1.26 hours)
"40","Umina - Booker Bay - Patonga",23588,47.8463625572325,52.1409191114126,22.931151432932,21.9136849245379,3.30252670849585,67.1087037728801,3.7542024654464,0.992029845684246,4.81600813973207,5.80803798541631,19.0054264880448,2672,2360,2212,2555,2997,3106,3338,2605,1378,368,0,0.682387000373552,0.125793799028764,0.312786162455486,0.104035950483297,"3","3",1,0,0,0,0,102011040,11040,"Greater Sydney",16416.2243240953s (~4.56 hours),12345.7243240953s (~3.43 hours),16574.1243240953s (~4.6 hours),14643.2243240953s (~4.07 hours),5042.52432409526s (~1.4 hours),4441.02432409526s (~1.23 hours),4441.02432409526s (~1.23 hours)
"41","Wamberal - Forresters Beach",9758,49.4261119081779,50.5636400901824,18.5693789711006,27.7208444353351,1.98811231809797,75.6064322703734,1.90787680566912,0.78909612625538,2.69522443123591,3.48432055749129,26.60381225661,1398,1335,917,1133,1432,1303,1149,704,330,66,0,0.530662305805397,0.106295993458708,0.411354785816766,0.183746669399467,"9","9",1,0,0,0,0,102011041,11041,"Greater Sydney",16684.4045422068s (~4.63 hours),12613.9045422068s (~3.5 hours),16842.3045422068s (~4.68 hours),13828.8131468817s (~3.84 hours),5310.7045422068s (~1.48 hours),4709.2045422068s (~1.31 hours),4709.2045422068s (~1.31 hours)
"42","Woy Woy - Blackwall",13928,47.6522113727743,52.3477886272257,24.2748420448018,20.649052268811,3.36731763354394,66.7235230268259,3.50441928981237,1.00516944284894,4.56634118322803,5.57151062607697,18.6387133831132,1451,1381,1356,1497,1740,1924,1921,1511,895,239,3,0.673437742285626,0.11474647232129,0.32323377369328,0.113081562320505,"3","3",1,0,0,0,0,102011042,11042,"Greater Sydney",16172.3820687187s (~4.49 hours),12101.8820687187s (~3.36 hours),16330.2820687187s (~4.54 hours),14399.3820687187s (~4 hours),4798.68206871868s (~1.33 hours),4197.18206871868s (~1.17 hours),4197.18206871868s (~1.17 hours)
"43","Wyoming",11434,47.6473675004373,52.4138534196257,24.3221969564457,22.2844149029211,3.32342137484695,71.3765008576329,3.06603773584906,0.813363652265174,4.54783977610635,5.36120342837152,22.5467902746196,1418,1367,1262,1398,1323,1377,1308,1002,702,266,3,0.680531732418525,0.0951972555746141,0.34554836452685,0.110897323771209,"4","4",1,0,0,0,0,102011043,11043,"Greater Sydney",16050.8340254052s (~4.46 hours),11980.3340254052s (~3.33 hours),16208.7340254052s (~4.5 hours),13683.7678843627s (~3.8 hours),4677.13402540517s (~1.3 hours),4075.63402540517s (~1.13 hours),4075.63402540517s (~1.13 hours)
