"","Hospital.name","Phone.number","Street.address","Suburb","Postcode","State","Local.Hospital.Network..LHN.","Primary.Health.Network.area..PHN.","Website","Description","Sector","Beds","Latitude","Longitude","Hospital_ID","SA2_NAME","SA2_5DIGIT","GCC_NAME"
"13","Baradine Multi Purpose Service","02 6843 4100","5-9 Macquarie Street","BARADINE","2396","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-30.945316,149.066189,45,"Coonabarabran",11099,"Rest of NSW"
"14","Barham Hospital","03 5451 1000","70 Punt Road","BARHAM","2732","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-35.623823,144.133479,48,"Deniliquin Region",11183,"Rest of NSW"
"15","Baringa Private Hospital","02 6659 4444","31 Mackays Road","COFFS HARBOUR","2450","NSW","","","www.baringaprivate.com.au","","Private","50-99",-30.278813,153.102893,49,"Coffs Harbour - North",11084,"Rest of NSW"
"16","Barraba Multi Purpose Service","02 6782 2500","Edward Street","BARRABA","2347","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-30.382482,150.605778,51,"Tamworth Region",11205,"Rest of NSW"
"17","Batemans Bay Hospital","02 4475 1500","7 Pacific Street","BATEMANS BAY","2536","NSW","Southern NSW","South Eastern NSW","","Small hospital with an emergency department","Public","<50",-35.714055,150.182375,53,"Batemans Bay",11017,"Rest of NSW"
"18","Bathurst Health Service","02 6330 5311","361-365 Howick Street","BATHURST","2795","NSW","Western NSW","Western NSW","","Large regional hospital with an emergency department","Public","100-199",-33.406512,149.572699,54,"Bathurst",11058,"Rest of NSW"
"19","Bathurst Private Hospital","02 6331 7766","Gorman's Hill Road","BATHURST","2795","NSW","","","www.bathurstprivate.com.au","","Private","<50",-33.435215,149.589242,55,"Bathurst",11058,"Rest of NSW"
"20","Batlow/Adelong Multi Purpose Service","02 6941 4333","61-81 Pioneer Street","BATLOW","2730","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-35.521951,148.147891,56,"Tumut Region",11262,"Rest of NSW"
"21","Bega Valley Private Hospital","02 6492 4144","31 Parker Street","BEGA","2550","NSW","","","www.pulsehealth.net.au","","Private","<50",-36.673617,149.845812,62,"Bega - Tathra",11019,"Rest of NSW"
"22","Bellinger River District Hospital","02 6659 5800","43 Church Street","BELLINGEN","2454","NSW","Mid North Coast","North Coast","","Small hospital with an emergency department","Public","<50",-30.457256,152.893209,65,"Bellingen",11083,"Rest of NSW"
"23","Belmont Hospital","02 4923 2000","16 Croudace Bay Road","BELMONT","2280","NSW","Hunter New England","Hunter New England and Central Coast","","Medium metropolitan hospital with an emergency department","Public","100-199",-33.024631,151.648181,66,"Belmont - Bennetts Green",11206,"Rest of NSW"
"24","Berkeley Vale Private Hospital","02 4389 9100","Lorraine Avenue","BERKELEY VALE","2261","NSW","","","www.berkeleyvaleprivate.com.au","","Private","50-99",-33.337061,151.432784,70,"Chittaway Bay - Tumbi Umbi",11047,"Greater Sydney"
"25","Berrigan Multi Purpose Service","03 5888 5300","137-143 Memorial Place","BERRIGAN","2712","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-35.662312,145.813035,71,"Tocumwal - Finley - Jerilderie",11185,"Rest of NSW"
"26","Bingara Multi Purpose Service","02 6728 0100","Keera Street","BINGARA","2404","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-29.864055,150.579235,77,"Inverell Region - West",11193,"Rest of NSW"
"27","Blacktown Hospital","02 9881 8000","Blacktown Road","BLACKTOWN","2148","NSW","Western Sydney","Western Sydney","http://www.wslhd.health.nsw.gov.au/Blacktown-Mount-Druitt-Hospital","Large metropolitan hospital with an emergency department","Public","200-500",-33.775552,150.917537,79,"Blacktown (West)",11561,"Greater Sydney"
"28","Blayney Multi Purpose Service","02 6368 9000","3 Osman Street","BLAYNEY","2799","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-33.537728,149.248988,81,"Blayney",11076,"Rest of NSW"
"29","Blue Mountains Hospital","02 4784 6500","Lot 3 Woodlands Road","KATOOMBA","2780","NSW","Nepean Blue Mountains","Nepean Blue Mountains","www.nbmlhd.health.nsw.gov.au/Blue-Mountains-Hospital","Small hospital with an emergency department","Public","50-99",-33.705329,150.32111,82,"Katoomba - Leura",11452,"Greater Sydney"
"30","Boggabri Multi Purpose Service","02 6749 7000","3 Wee Waa Street","BOGGABRI","2382","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-30.711502,150.040014,84,"Gunnedah Region",11200,"Rest of NSW"
"31","Bombala Multi Purpose Service","02 6458 5777","126-128 Wellington Street","BOMBALA","2632","NSW","Southern NSW","South Eastern NSW","","Regional hospital with an emergency department","Public","<50",-36.917513,149.235372,85,"Bombala",11013,"Rest of NSW"
"32","Bonalbo Hospital","02 6665 1203","Clarence Way","BONALBO","2469","NSW","Northern NSW","North Coast","","Regional hospital","Public","<50",-28.733777,152.622789,86,"Casino Region",11245,"Rest of NSW"
"33","Boorowa Multi Purpose Service","02 6385 3004","62-80 Dry Street","BOOROWA","2586","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-34.442822,148.727073,89,"Young Region",11544,"Rest of NSW"
"34","Bourke Multi Purpose Service","02 6870 8888","26 Tarcoon Street","BOURKE","2840","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-30.092823,145.947983,92,"Bourke - Brewarrina",11092,"Rest of NSW"
"35","Bourke Street Health Service","02 4823 7800","234 Bourke Street","GOULBURN","2580","NSW","Southern NSW","South Eastern NSW","","Regional hospital","Public","<50",-34.748721,149.719321,93,"Goulburn",11539,"Rest of NSW"
"36","Bowral Hospital","02 4861 0200","Lot 3 Mona Road","BOWRAL","2576","NSW","South Western Sydney","South Western Sydney","https://www.swslhd.health.nsw.gov.au/bowral/","Medium regional hospital with an emergency department","Public","50-99",-34.485043,150.423796,95,"Bowral",11284,"Rest of NSW"
"37","Braeside Hospital","02 9616 8600","340 Prairie Vale Road","PRAIRIEWOOD","2176","NSW","South Western Sydney","South Western Sydney","","Metropolitan hospital","Public","50-99",-33.861917,150.902192,98,"Greenfield Park - Prairiewood",11517,"Greater Sydney"
"38","Braidwood Multi Purpose Service","02 4842 2566","77 Monkittee Street","BRAIDWOOD","2622","NSW","Southern NSW","South Eastern NSW","","Regional hospital with an emergency department","Public","<50",-35.443216,149.805302,99,"Braidwood",11007,"Rest of NSW"
"39","Brewarrina Multi Purpose Service","02 6830 5000","56 Doyle Street","BREWARRINA","2839","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-29.961627,146.863796,100,"Bourke - Brewarrina",11092,"Rest of NSW"
"40","Brindabella Endoscopy and Day Surgery Centre","02 6282 7788","Suite 7, 5 Dann Close","GARRAN","2605","ACT","","","http://www.curagroup.com.au/brindabella-endoscopy-centre","","Private","<50",-35.3495,149.1031,102,"Garran",81102,"Australian Capital Territory"
"41","Brisbane Waters Private Hospital","02 4341 9522","21 Vidler Avenue","WOY WOY","2256","NSW","","","www.brisbanewatersprivatehospital.com.au","","Private","50-99",-33.495233,151.321708,105,"Woy Woy - Blackwall",11042,"Greater Sydney"
"42","Broken Hill Hospital","08 8080 1333","176 Thomas Street","BROKEN HILL","2880","NSW","Far West","Western NSW","","Medium regional hospital with an emergency department","Public","100-199",-31.947609,141.454703,107,"Broken Hill",11097,"Rest of NSW"
"43","Bulahdelah Hospital","02 4987 9900","Richmond Street","BULAHDELAH","2423","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-32.403949,152.210029,112,"Bulahdelah - Stroud",11151,"Rest of NSW"
"44","Bulli Hospital","02 4284 4344","Hospital Road","BULLI","2516","NSW","Illawarra Shoalhaven","South Eastern NSW","www.islhd.health.nsw.gov.au/Bulli_Hospital/default.asp","Small hospital with an emergency department","Public","50-99",-34.336667,150.907344,113,"Woonona - Bulli - Russell Vale",11150,"Rest of NSW"
"45","Byron Central Hospital","02 6639 9400","54 Ewingsdale Road","EWINGSDALE","2481","NSW","Northern NSW","North Coast","http://nnswlhd.health.nsw.gov.au/about/hospitals/byron-central-hospital/","Small hospital with an emergency department","Public","<50",-28.637365,153.555898,120,"Bangalow",11238,"Rest of NSW"
"46","Calvary Health Care Riverina","02 6925 3055","Hardy Avenue","WAGGA WAGGA","2650","NSW","","","www.calvary-wagga.com.au","","Private","50-99",-35.118702,147.352811,135,"Wagga Wagga - West",11270,"Rest of NSW"
"47","Calvary Hospital","02 9553 3111","91-101 Rocky Point Road","KOGARAH","2217","NSW","South Eastern Sydney","Central and Eastern Sydney","www.seslhd.health.nsw.gov.au/Calvary_Hospital/default.asp","Specialist rehabilitation hospital","Public","100-199",-33.976132,151.136206,140,"Kogarah",11378,"Greater Sydney"
"48","Calvary John James Hospital","02 6281 8100","173 Strickland Crescent","DEAKIN","2600","ACT","","","www.calvaryjohnjames.com.au","","Private","100-199",-35.319869,149.095662,141,"Deakin",81062,"Australian Capital Territory"
"49","Calvary Mater Newcastle Hospital","02 4921 1211","20 Edith Street","WARATAH","2298","NSW","Hunter New England","Hunter New England and Central Coast","www.calvarymater.org.au/","Large metropolitan hospital with an emergency department","Public","100-199",-32.899371,151.720858,142,"Waratah - North Lambton",11234,"Rest of NSW"
"50","Calvary Private Hospital Bruce","02 6201 6363","Corner of Belconnen Way and Haydon Drive","BRUCE","2617","ACT","","","www.calvaryactprivate.org.au/visitors.html","","Private","50-99",-35.252882,149.088646,144,"Bruce",81003,"Australian Capital Territory"
"51","Calvary Public Hospital","02 6201 6111","Haydon Drive","BRUCE","2617","ACT","Australian Capital Territory","Australian Capital Territory","www.calvary-act.com.au","Large metropolitan hospital with an emergency department","Public","200-500",-35.253321,149.089654,145,"Bruce",81003,"Australian Capital Territory"
"52","Camden Hospital","02 4634 3000","65 Menangle Road","CAMDEN","2570","NSW","South Western Sydney","South Western Sydney","https://www.swslhd.health.nsw.gov.au/ccq/","Metropolitan hospital with an emergency department","Public","50-99",-34.062702,150.693297,148,"Camden - Ellis Lane",11433,"Greater Sydney"
"53","Campbelltown Hospital","02 4634 3000","Therry Road","CAMPBELLTOWN","2560","NSW","South Western Sydney","South Western Sydney","https://www.swslhd.health.nsw.gov.au/ccq/","Large metropolitan hospital with an emergency department","Public","200-500",-34.077651,150.806321,150,"Campbelltown - Woodbine",11437,"Greater Sydney"
"54","Campbelltown Private Hospital","02 4621 9111","42 Parkside Crescent (Corner of Hyde Street)","CAMPBELLTOWN","2560","NSW","","","www.campbelltownprivatehospital.com.au","","Private","50-99",-34.075607,150.804948,151,"Campbelltown - Woodbine",11437,"Greater Sydney"
"55","Canberra Imaging Group Angiography/Interventional Suite","02 6203 2092","173 Strickland Cresent","DEAKIN","2600","ACT","","","www.canberraimaging.com.au","","Private","<50",-35.318557,149.096004,152,"Deakin",81062,"Australian Capital Territory"
"56","Canowindra Hospital","02 6340 3033","Browns Avenue","CANOWINDRA","2804","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-33.557204,148.676576,154,"Cowra Region",11064,"Rest of NSW"
"57","Canterbury Hospital","02 9787 0000","575 Canterbury Road","CAMPSIE","2194","NSW","Sydney","Central and Eastern Sydney","www.sswahs.nsw.gov.au/Canterbury/","Medium metropolitan hospital with an emergency department","Public","100-199",-33.919592,151.098275,155,"Canterbury (South) - Campsie",11363,"Greater Sydney"
"58","Casino Hospital","02 6662 2111","Hotham Street","CASINO","2470","NSW","Northern NSW","North Coast","","Small hospital with an emergency department","Public","<50",-28.859839,153.035827,160,"Casino",11244,"Rest of NSW"
"59","Castle Hill Day Surgery","02 8850 0500","72-74 Cecil Avenue","CASTLE HILL","2154","NSW","","","www.chds.com.au","","Private","<50",-33.73507,151.004099,162,"Castle Hill - North",11555,"Greater Sydney"
"60","Castlecrag Private Hospital","02 9935 0200","150 Edinburgh Road","CASTLECRAG","2068","NSW","","","www.castlecragprivate.com.au/","","Private","<50",-33.801822,151.217045,163,"Willoughby - Castle Cove - Northbridge",11402,"Greater Sydney"
"61","Central Coast Day Hospital","02 4367 3880","Suite 1, Fountain Corporate, 2 Ilya Avenue","ERINA","2250","NSW","","","","","Private","<50",-33.439692,151.384354,167,"Erina - Green Point",11031,"Greater Sydney"
"62","Centre for Digestive Diseases","02 9713 4011","Level 1, 229 Great North Road","FIVE DOCK","2046","NSW","","","www.cdd.com.au","","Private","",-33.865117,151.130092,171,"Five Dock - Abbotsford",11386,"Greater Sydney"
"63","Cessnock Hospital","02 4991 0555","24 View Street","CESSNOCK","2325","NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","<50",-32.827754,151.348396,172,"Cessnock",11108,"Rest of NSW"
"64","Chatswood Private Hospital","02 9413 4822","Suite 1, 38B Albert Avenue","CHATSWOOD","2067","NSW","","","http://www.cphospital.com.au","","Private","<50",-33.797612,151.185691,176,"Chatswood (East) - Artarmon",11398,"Greater Sydney"
"65","Chris O’Brien Lifehouse","02 2851 4000","119-143 Missenden Road","CAMPERDOWN","2006","NSW","","Central and Eastern Sydney","www.mylifehouse.org.au","","Private","100-199",-33.890577,151.182234,182,"Newtown - Camperdown - Darlington",11332,"Greater Sydney"
"66","Cobar Health Service","02 6830 2111","Lerida Road","COBAR","2835","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-31.509026,145.825266,187,"Cobar",11093,"Rest of NSW"
"67","Coffs Day Hospital","02 6600 1000","69 Albany Street","COFFS HARBOUR","2450","NSW","","","www.coffsdayhospital.com.au","","Private","<50",-30.300233,153.115865,189,"Coffs Harbour - North",11084,"Rest of NSW"
"68","Coffs Harbour Hospital","02 6656 7000","345 Pacific Highway","COFFS HARBOUR","2450","NSW","Mid North Coast","North Coast","","Large regional hospital with an emergency department","Public","200-500",-30.317579,153.093667,190,"Coffs Harbour - North",11084,"Rest of NSW"
"69","Coledale Hospital","02 4267 0111","636 Lawrence Hargrave Drive","COLEDALE","2515","NSW","Illawarra Shoalhaven","South Eastern NSW","www.islhd.health.nsw.gov.au/Coledale_Hospital/default.asp","Metropolitan hospital","Public","<50",-34.283797,150.950796,193,"Thirroul - Austinmer - Coalcliff",11148,"Rest of NSW"
"70","Collarenebri Multi Purpose Service","02 6756 4800","Walgett Street","COLLARENEBRI","2833","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-29.544889,148.581901,195,"Walgett - Lightning Ridge",11096,"Rest of NSW"
"71","Concord Hospital","02 9767 5000","Hospital Road","CONCORD","2137","NSW","Sydney","Central and Eastern Sydney","www.sswahs.nsw.gov.au/concord/","Major hospital with an emergency department","Public",">500",-33.837288,151.092664,198,"Concord - Mortlake - Cabarita",11383,"Greater Sydney"
"72","Condobolin Health Service","02 6890 1500","Madline Street","CONDOBOLIN","2877","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-33.082332,147.154161,199,"Condobolin",11062,"Rest of NSW"
"73","Coolah Multi Purpose Service","02 6377 9100","111-135 Martin Street","COOLAH","2843","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-31.821473,149.710049,202,"Coonabarabran",11099,"Rest of NSW"
"74","Coolamon Multi Purpose Service","02 6927 3303","Doctor Buchanan Drive","COOLAMON","2701","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-34.819885,147.199329,203,"Wagga Wagga Region",11271,"Rest of NSW"
"75","Coolenberg Day Surgery","02 6584 0368","60 Lake Road","PORT MACQUARIE","2444","NSW","","","","","Private","",-31.439829,152.909473,204,"Port Macquarie - East",11163,"Rest of NSW"
"76","Cooma Hospital","02 6455 3222","Bent Street","COOMA","2630","NSW","Southern NSW","South Eastern NSW","","Small hospital with an emergency department","Public","<50",-36.241389,149.130499,205,"Cooma",11014,"Rest of NSW"
"77","Coonabarabran Health Service","02 6826 6100","101-103 Edwards Street","COONABARABRAN","2357","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-31.274791,149.284779,206,"Coonabarabran",11099,"Rest of NSW"
"78","Coonamble Multi Purpose Service","02 6827 1100","150 Castlereagh Street","COONAMBLE","2829","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-30.964803,148.387527,207,"Coonamble",11094,"Rest of NSW"
"79","Cootamundra Hospital","02 6942 0444","120 Mackay Street","COOTAMUNDRA","2590","NSW","Murrumbidgee","Murrumbidgee","","Small hospital with an emergency department","Public","<50",-34.634386,148.012796,208,"Cootamundra",11263,"Rest of NSW"
"80","Coral Tree Family Centre","02 9887 5830","Badajoz And Twin Roads","NORTH RYDE","2113","NSW","Northern Sydney","Northern Sydney","http://www.nslhd.health.nsw.gov.au/Services/Directory/Pages/CoralTree.aspx","Specialist psychiatric hospital","Public","<50",-33.804256,151.126212,209,"North Ryde - East Ryde",11501,"Greater Sydney"
"81","Corowa Hospital","02 6033 1333","74 Guy Street","COROWA","2646","NSW","Murrumbidgee","Murrumbidgee","","Small hospital with an emergency department","Public","50-99",-35.993528,146.383541,210,"Corowa",11180,"Rest of NSW"
"82","Cowra Health Service","02 6340 9000","64 Liverpool Street","COWRA","2794","NSW","Western NSW","Western NSW","","Small hospital with an emergency department","Public","<50",-33.832137,148.692376,214,"Cowra",11063,"Rest of NSW"
"83","Crookwell Hospital","02 4832 1300","17 Kialla Road","CROOKWELL","2583","NSW","Southern NSW","South Eastern NSW","","Regional hospital with an emergency department","Public","<50",-34.464222,149.467427,218,"Goulburn Region",11540,"Rest of NSW"
"84","Crows Nest Day Surgery","02 9955 5677","Level 1, 22 Clarke Street","CROWS NEST","2065","NSW","","","www.crowsnestdaysurgery.com.au","","Private","",-33.825083,151.199293,219,"Crows Nest - Waverton",11414,"Greater Sydney"
"85","Culcairn Multi Purpose Service","02 6029 8203","51-55 Balfour Street","CULCAIRN","2660","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-35.667399,147.042104,221,"Albury Region",11175,"Rest of NSW"
"86","Cumberland Hospital","02 9840 3000","1-11 Hainsworth Street","WESTMEAD","2145","NSW","Western Sydney","Western Sydney","","Specialist psychiatric hospital","Public","200-500",-33.80159,150.995246,222,"Northmead",11491,"Greater Sydney"
"87","David Berry Hospital","02 4464 1001","85 Tannery Road","BERRY","2535","NSW","Illawarra Shoalhaven","South Eastern NSW","www.islhd.health.nsw.gov.au/David_Berry_Hospital/default.asp","Regional hospital","Public","<50",-34.775909,150.712819,231,"Berry - Kangaroo Valley",11272,"Rest of NSW"
"88","Dee Why Endoscopy Unit","02 9982 6333","Level 4, Suite 4402, Dee Why Grand, 834 Pittwater Road","DEE WHY","2099","NSW","","","http://www.curagroup.com.au/dee-why-endoscopy-unit","","Private","<50",-33.75674,151.28363,233,"Dee Why - North Curl Curl",11426,"Greater Sydney"
"89","Delegate Multi Purpose Service","02 6459 8000","15 Craigie Street","DELEGATE","2633","NSW","Southern NSW","South Eastern NSW","","Regional hospital with an emergency department","Public","<50",-37.04496,148.945958,234,"Bombala",11013,"Rest of NSW"
"90","Deniliquin Hospital","03 5882 2800","411 Charlotte Street","DENILIQUIN","2710","NSW","Murrumbidgee","Murrumbidgee","","Small hospital with an emergency department","Public","<50",-35.524044,144.963301,236,"Deniliquin",11182,"Rest of NSW"
"91","Denman Multi Purpose Service","02 6547 3999","51-53 Ogilvie Street","DENMAN","2328","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-32.389483,150.684453,237,"Muswellbrook Region",11127,"Rest of NSW"
"92","Diagnostic Endoscopy Centre","02 8382 6622","601/438 Victoria Street","DARLINGHURST","2010","NSW","","","www.diagnosticendoscopy.com.au","","Private","<50",-33.879519,151.220852,241,"Darlinghurst",11329,"Greater Sydney"
"93","Dorrigo Multi Purpose Service","02 6692 7700","14 Beech Street","DORRIGO","2453","NSW","Mid North Coast","North Coast","","Regional hospital with an emergency department","Public","<50",-30.340625,152.713882,249,"Dorrigo",11087,"Rest of NSW"
"94","Dubbo Hospital","02 6809 6809","Myall Street","DUBBO","2830","NSW","Western NSW","Western NSW","","Large regional hospital with an emergency department","Public","100-199",-32.239339,148.620772,251,"Dubbo - South",11101,"Rest of NSW"
"95","Dudley-Orange Private Hospital","02 6362 8122","261 March Street","ORANGE","2800","NSW","","","www.dudleyprivate.com.au","","Private","50-99",-33.282219,149.121236,252,"Orange",11077,"Rest of NSW"
"96","Dunedoo Multi Purpose Service","02 6370 3000","70 Digilah Street","DUNEDOO","2844","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-32.017204,149.397366,254,"Mudgee Region - West",11074,"Rest of NSW"
"97","Dungog Hospital","02 4995 7000","58 Hospital Road","DUNGOG","2420","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50",-32.401948,151.746157,255,"Dungog",11110,"Rest of NSW"
"98","Eastern Heart Clinic","02 9382 0700","Level 3, Campus Centre Building, Prince of Wales Hospital, Barker Street","RANDWICK","2031","NSW","","","www.ehc.com.au","","Private","<50",-33.920616,151.237986,264,"Randwick - North",11569,"Greater Sydney"
"99","Epping Surgery Centre","02 9868 6555","Suite 3, Oxford Place, 44-46 Oxford Street","EPPING","2121","NSW","","","www.eesc.com.au","","Private","<50",-33.771132,151.083676,271,"Epping - North Epping",11495,"Greater Sydney"
"100","Eugowra Multipurpose Service","02 6850 4000","Cooper Street","EUGOWRA","2806","NSW","Western NSW","Western NSW","","Regional hospital","Public","<50",-33.424421,148.366799,287,"Forbes",11065,"Rest of NSW"
"101","Fairfield Hospital","02 9616 8111","Corner of Polding Street and Prairie Vale Road","PRAIRIEWOOD","2176","NSW","South Western Sydney","South Western Sydney","https://www.swslhd.health.nsw.gov.au/fairfield/","Medium metropolitan hospital with an emergency department","Public","200-500",-33.860117,150.904339,291,"Greenfield Park - Prairiewood",11517,"Greater Sydney"
"102","Figtree Private Hospital","02 4255 5000","1 Suttor Place","FIGTREE","2525","NSW","","","www.figtreeprivate.com.au","","Private","100-199",-34.440199,150.851024,292,"Figtree - Keiraville",11146,"Rest of NSW"
"103","Finley Hospital","03 5883 1133","20-22 Dawe Avenue","FINLEY","2713","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50",-35.641725,145.568139,293,"Tocumwal - Finley - Jerilderie",11185,"Rest of NSW"
"104","Forster Private Hospital","02 6555 1333","29-41 South Street","FORSTER","2428","NSW","","","www.pulsehealth.net.au","","Private","50-99",-32.188561,152.514079,299,"Forster",11152,"Rest of NSW"
"105","Gilgandra Multi Purpose Service","02 6880 5900","6 Chelmsford Avenue","GILGANDRA","2827","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50",-31.704565,148.664889,311,"Gilgandra",11104,"Rest of NSW"
"106","Glen Innes Hospital","02 6739 0200","94 Taylor Street","GLEN INNES","2370","NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","<50",-29.733293,151.731673,317,"Glen Innes",11190,"Rest of NSW"
"107","Gloucester Hospital","02 6538 5000","166-182 Church Street","GLOUCESTER","2422","NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","50-99",-32.014787,151.958556,322,"Gloucester",11167,"Rest of NSW"
"108","Goodooga Health Service","02 6820 6200","49 Hammond Street","GOODOOGA","2838","NSW","Western NSW","Western NSW","","Regional hospital","Public","<50",-29.110249,147.456114,327,"Walgett - Lightning Ridge",11096,"Rest of NSW"
"109","Gosford Hospital","02 4320 2111","76 Holden Street","GOSFORD","2250","NSW","Central Coast","Hunter New England and Central Coast","www.cclhd.health.nsw.gov.au/","Large metropolitan hospital with an emergency department","Public","200-500",-33.419451,151.340328,331,"Gosford - Springfield",11032,"Greater Sydney"
"110","Goulburn Hospital","02 4827 3111","130 Goldsmith Street","GOULBURN","2580","NSW","Southern NSW","South Eastern NSW","","Medium regional hospital with an emergency department","Public","100-199",-34.747527,149.712806,332,"Goulburn",11539,"Rest of NSW"
"111","Gower Wilson Multi Purpose Service","02 6563 2000","Lagoon Road","LORD HOWE ISLAND","2898","NSW","South Eastern Sydney","Central and Eastern Sydney","www.seslhd.health.nsw.gov.au/Health_Services/LordHoweIsland.asp","Regional hospital","Public","<50",-31.535603,159.071307,337,"Lord Howe Island",11161,"Rest of NSW"
"112","Grafton Base Hospital","02 6640 2222","174 Arthur Street","GRAFTON","2460","NSW","Northern NSW","North Coast","","Medium regional hospital with an emergency department","Public","50-99",-29.674807,152.941274,338,"Grafton",11080,"Rest of NSW"
