Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA2 (UR) by AGE10P - Age in Ten Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE10P - Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"Parkes (NSW)",1583,1479,1261,1266,1272,1385,1182,883,539,124,0,10983,
"Parkes Region",406,449,266,289,409,564,529,301,138,25,0,3383,
"West Wyalong",812,747,535,629,677,851,760,515,332,74,0,5929,
"Lithgow",1490,1379,1548,1340,1532,1793,1654,1306,642,133,0,12814,
"Lithgow Region",923,991,729,781,1073,1385,1319,766,258,32,0,8262,
"Mudgee",1848,1391,1402,1582,1480,1436,1084,909,486,108,4,11727,
"Mudgee Region - East",342,381,238,282,444,534,581,472,144,25,0,3445,
"Mudgee Region - West",1369,1234,871,973,1365,1633,1535,996,347,44,4,10362,
"Wollangambe - Wollemi",0,0,0,0,0,0,0,0,0,0,0,0,
"Blayney",989,978,693,742,970,1046,909,593,300,36,0,7273,
"Orange",2416,2305,2285,2272,2216,2381,2211,1636,1040,245,4,19010,
"Orange - North",3373,2653,2531,2824,2727,2220,1784,1062,470,86,0,19729,
"Orange Region",1640,1757,907,1183,1608,1702,1527,836,362,73,4,11607,
"Grafton",2335,2301,2004,1963,2132,2479,2321,1770,1100,262,4,18673,
"Grafton Region",1594,1869,1129,1170,1940,2854,2793,1411,472,80,0,15313,
"Maclean - Yamba - Iluka",1440,1625,982,1197,1765,2390,3173,2349,1134,211,8,16283,
"Bellingen",801,775,377,559,799,919,869,447,191,57,0,5803,
"Coffs Harbour - North",2132,2136,2032,1885,2129,2315,2273,1564,832,162,0,17464,
"Coffs Harbour - South",1058,1130,1216,1110,1160,1262,1282,1111,710,249,3,10294,
"Coramba - Nana Glen - Bucca",476,521,306,397,595,637,540,260,74,6,0,3816,
"Dorrigo",343,361,213,255,354,625,561,354,141,37,3,3245,
"Korora - Emerald Beach",1182,1101,710,957,1251,1352,1283,661,193,41,0,8740,
"Sawtell - Boambee",2384,2481,1828,1946,2477,2810,2765,1710,860,205,0,19474,
"Urunga",396,508,331,347,578,794,816,546,307,54,0,4667,
"Woolgoolga - Arrawarra",1505,1414,1304,1341,1435,1798,1984,1086,541,98,6,12521,
"Bourke - Brewarrina",659,464,582,451,538,602,375,207,111,18,0,4000,
"Cobar",744,542,600,671,528,675,472,269,134,26,0,4657,
"Coonamble",581,484,460,411,517,609,526,333,167,31,0,4113,
"Nyngan - Warren",694,593,563,483,628,700,559,486,216,45,0,4971,
"Walgett - Lightning Ridge",903,667,738,710,759,970,879,594,162,24,0,6413,
"Broken Hill",1994,1901,2078,1866,2105,2638,2411,1580,976,157,3,17709,
"Far West",355,266,313,323,309,362,343,166,53,14,0,2507,
"Coonabarabran",904,928,641,676,897,1213,1299,855,431,96,0,7950,
"Dubbo - East",1515,1376,1425,1244,1273,1500,1094,604,263,75,0,10379,
"Dubbo - South",2446,2008,2412,2252,2062,2015,1594,1213,769,166,3,16942,
"Dubbo - West",1409,1174,1230,1140,1100,943,834,655,258,21,0,8769,
"Dubbo Region",781,752,464,609,772,916,806,385,133,16,0,5626,
"Gilgandra",568,492,446,414,499,630,590,473,223,39,0,4376,
"Narromine",970,814,642,676,750,890,841,605,294,60,0,6537,
"Wellington",1084,1053,1056,957,1010,1230,1153,815,390,83,6,8831,
"Branxton - Greta - Pokolbin",1556,1362,1153,1423,1406,1274,1195,560,157,32,0,10124,
"Cessnock",3025,2668,3006,2737,2699,2693,2429,1620,908,204,5,21995,
"Cessnock Region",971,1080,739,827,1181,1233,1159,542,176,23,0,7926,
"Dungog",1092,1129,746,925,1137,1446,1333,787,324,58,0,8976,
"Kurri Kurri - Abermain",2491,2266,2262,2184,2253,2234,2117,1179,541,114,5,17639,
"Singleton",2371,2280,2311,2107,2271,2039,1387,763,455,99,0,16094,
"Singleton Region",665,663,423,536,726,810,641,340,106,8,0,4922,
"Maitland",1019,718,1033,967,857,766,584,344,239,74,0,6601,
"Maitland - East",3796,3616,3320,3539,3625,3393,3060,1913,988,157,3,27416,
"Maitland - North",1115,1145,733,869,1158,997,846,493,212,49,0,7611,
"Maitland - West",3701,2905,3257,3241,2816,2526,2129,1282,567,110,0,22525,
"Thornton - Millers Forest",1567,1409,1305,1371,1426,1401,963,429,104,24,0,10003,
"Anna Bay",559,810,520,451,788,891,825,638,225,17,0,5726,
"Lemon Tree Passage - Tanilba Bay",820,665,583,614,726,984,1165,798,264,59,0,6685,
"Nelson Bay Peninsula",2014,2184,1600,1756,2391,2842,3447,3034,1389,358,9,21015,
"Raymond Terrace",1981,1742,1859,1621,1657,1858,1625,929,461,92,4,13825,
"Seaham - Woodville",633,924,521,460,877,919,687,286,102,12,0,5412,
"Tea Gardens - Hawks Nest",308,370,244,289,393,655,1191,1063,438,77,0,5038,
"Williamtown - Medowie - Karuah",1897,1844,1503,1697,1969,1843,1603,985,292,43,0,13673,
"Muswellbrook",1933,1544,1694,1729,1562,1543,1123,602,285,47,0,12072,
"Muswellbrook Region",544,588,380,493,579,579,423,293,112,20,0,4013,
"Scone",796,775,681,695,764,712,609,446,285,60,9,5823,
"Scone Region",1111,1025,811,950,1089,1191,1100,659,304,50,5,8288,
"Dapto - Avondale",2950,2953,2665,2799,2930,3002,2799,2130,1030,195,8,23460,
"Horsley - Kembla Grange",1365,1376,965,1266,1266,1072,714,423,165,41,0,8655,
"Port Kembla Industrial",0,0,0,3,0,4,0,0,0,0,0,13,
"Unanderra - Mount Kembla",1843,2109,1863,1750,2051,2230,1735,944,641,206,3,15374,
"Berkeley - Lake Heights - Cringila",1902,1632,1797,1727,1687,1853,1413,1056,658,76,3,13797,
"Port Kembla - Warrawong",1257,1016,1204,1092,1219,1369,1014,851,609,120,3,9751,
"Windang - Primbee",405,401,425,417,479,618,631,589,299,32,0,4301,
"Illawarra Catchment Reserve",0,0,0,0,0,0,4,0,0,0,0,7,
"Albion Park - Macquarie Pass",2087,2213,1758,1861,2010,1900,1293,715,374,109,0,14331,
"Albion Park Rail",888,834,906,824,792,948,822,527,295,86,0,6918,
"Kiama",704,837,673,676,916,1113,1236,958,474,110,0,7695,
"Kiama Downs - Minnamurra",726,745,591,653,735,904,847,418,219,35,0,5875,
"Kiama Hinterland - Gerringong",844,1000,674,691,962,1157,1214,789,397,96,5,7812,
"Shellharbour - Flinders",2424,2541,1808,2206,2623,2169,1689,953,380,28,0,16831,
"Shellharbour - Oak Flats",1112,1270,1170,1112,1255,1469,1307,759,416,75,0,9951,
"Warilla",2510,2430,2488,2168,2445,2785,2555,2006,909,123,0,20422,
"Balgownie - Fairy Meadow",2395,2599,3028,2515,2749,2650,2190,1781,1067,221,3,21201,
"Corrimal - Tarrawanna - Bellambi",1888,1758,1876,1954,2001,2175,1736,1140,730,162,4,15421,
"Figtree - Keiraville",2589,2884,3244,2499,2771,2398,2060,1540,900,195,0,21083,
"Helensburgh",1308,1219,974,1115,1352,1311,841,422,191,46,0,8788,
"Thirroul - Austinmer - Coalcliff",1509,1458,1030,1291,1706,1782,1422,688,350,63,0,11306,
"Woonona - Bulli - Russell Vale",2785,2594,1963,2482,2896,2621,2135,1391,776,197,4,19840,
"Wollongong - East",739,888,3978,1871,1360,1572,1522,1221,645,164,4,13968,
"Wollongong - West",1749,2001,3875,2340,1953,1754,1434,935,543,118,0,16707,
"Bulahdelah - Stroud",485,520,387,363,637,800,768,507,210,41,0,4725,
"Forster",1300,1438,1018,1121,1454,1820,2465,2174,1210,261,4,14270,
"Forster-Tuncurry Region",652,690,331,466,752,1022,1201,734,204,29,0,6085,
"Tuncurry",416,466,375,389,499,798,1215,1162,692,175,3,6182,
"Kempsey",1935,1878,1696,1525,1684,1941,1945,1291,669,190,0,14756,
"Kempsey Region",884,1034,673,739,1077,1733,1723,806,305,57,0,9024,
"Macksville - Scotts Head",563,537,386,396,527,700,779,542,300,72,0,4792,
"Nambucca Heads",615,646,498,466,612,969,1232,1029,535,145,5,6752,
"Nambucca Heads Region",861,963,586,631,887,1391,1343,719,244,31,0,7665,
"South West Rocks",446,447,341,366,514,709,1077,807,335,81,0,5133,
"Lord Howe Island",42,20,40,63,47,73,46,35,12,8,0,381,
"Laurieton - Bonny Hills",1473,1762,931,1124,1859,2503,3126,2592,1173,189,4,16743,
"Port Macquarie - East",3173,3380,2427,2716,3583,3828,3775,3153,1635,368,9,28050,
"Port Macquarie - West",1777,1791,1577,1648,1841,2105,2517,2335,1418,314,13,17326,
"Port Macquarie Region",545,659,442,451,706,985,942,431,117,27,0,5293,
"Wauchope",1448,1535,971,1048,1417,1498,1500,1093,518,109,5,11150,
"Gloucester",524,531,355,379,573,752,898,645,322,43,0,5033,
"Old Bar - Manning Point - Red Head",1179,1142,688,849,1229,1482,2049,1323,513,76,0,10531,
"Taree",2410,2499,2060,1871,2317,2734,2804,2231,1244,301,9,20478,
"Taree Region",1078,1349,796,831,1433,2223,2616,1583,461,57,0,12444,
"Wingham",639,662,505,467,590,797,758,545,339,69,0,5374,
"Albury - East",2218,1988,2181,2109,1961,1669,1391,928,491,101,3,15047,
"Albury - North",1200,1282,1335,1140,1305,1290,1060,738,406,90,0,9845,
"Albury - South",1078,1160,1247,1170,1267,1433,1347,867,554,181,3,10302,
"Albury Region",1584,1762,840,1110,1492,1806,1572,943,378,104,4,11611,
"Lavington",1747,1695,1875,1800,1681,1847,1849,1256,606,112,0,14473,
"Hay",330,367,299,287,338,516,392,293,149,12,0,2970,
"Wentworth - Buronga",768,734,540,596,764,874,896,524,214,48,0,5965,
"Wentworth-Balranald Region",482,409,392,376,449,575,507,278,120,15,0,3611,
"Corowa",580,640,507,432,601,783,835,657,376,75,0,5482,
"Corowa Region",795,756,510,634,736,968,1148,791,348,59,0,6742,
"Deniliquin",842,835,809,695,894,1039,1067,717,449,89,5,7434,
"Deniliquin Region",814,751,533,558,789,1155,1083,703,295,65,0,6751,
"Moama",688,636,483,606,701,662,900,791,320,53,5,5845,
"Tocumwal - Finley - Jerilderie",1119,1066,831,884,1057,1303,1653,1152,539,112,4,9728,
"Armidale",2619,3681,4081,2522,2598,2908,2295,1621,870,164,3,23348,
"Armidale Region - North",629,549,416,449,549,705,622,388,158,35,0,4490,
"Armidale Region - South",705,820,428,578,795,980,936,540,223,21,0,6023,
"Walcha",379,350,278,279,387,473,515,393,141,35,0,3226,
"Glen Innes",971,1011,769,865,1005,1278,1351,1015,467,98,4,8832,
"Inverell",1602,1501,1342,1187,1358,1404,1401,1175,558,118,7,11660,
"Inverell Region - East",620,729,443,471,663,810,778,503,184,28,0,5235,
"Inverell Region - West",748,670,481,529,724,915,863,709,292,62,0,5987,
"Tenterfield",655,716,435,492,756,1058,1348,782,325,57,0,6624,
"Moree",1284,891,1055,1018,1034,1070,895,641,276,44,0,8203,
"Moree Region",865,754,618,661,773,785,596,287,100,5,0,5451,
"Narrabri",1099,852,859,827,839,1015,802,561,244,66,4,7170,
"Narrabri Region",719,596,449,540,569,801,607,346,145,30,0,4797,
"Gunnedah",1410,1069,1146,1119,1045,1103,961,773,475,88,0,9191,
"Gunnedah Region",548,513,417,407,575,639,562,330,134,19,0,4133,
"Quirindi",958,905,711,776,926,1116,1111,773,354,57,3,7684,
"Tamworth - East",2682,2739,2511,2382,2485,2656,2402,1629,787,108,0,20372,
"Tamworth - North",1954,1797,2039,1868,1809,1767,1581,1226,793,242,3,15077,
"Tamworth - West",1061,826,866,740,610,604,478,270,91,16,0,5563,
"Tamworth Region",2331,2432,1395,1892,2478,2739,2675,1720,681,128,4,18472,
"Belmont - Bennetts Green",2135,2244,1856,1889,2341,2310,2319,1521,913,200,0,17724,
"Belmont South - Blacksmiths",532,669,551,508,743,885,853,532,293,34,0,5604,
"Charlestown - Dudley",3206,2762,2951,3337,3084,3004,2492,1846,1098,182,5,23965,
"Glendale - Cardiff - Hillsborough",3108,2847,2879,3161,3064,3046,2695,1595,798,198,0,23387,
"Mount Hutton - Windale",1160,1133,1044,1009,1104,1253,961,723,409,105,0,8901,
"Redhead",437,433,280,297,507,496,459,334,214,63,0,3517,
"Swansea - Caves Beach",1256,1260,1024,1065,1390,1717,1725,1315,657,143,0,11546,
"Valentine - Eleebana",1426,1650,933,1104,1769,1804,1683,1103,447,81,0,11994,
"Warners Bay - Boolaroo",1481,1656,1400,1440,1836,1834,1717,1283,625,96,0,13371,
"Bolton Point - Teralba",964,1088,956,844,1060,1250,1045,759,442,117,0,8523,
"Bonnells Bay - Silverwater",1060,1084,921,916,1052,1141,1179,946,373,43,0,8719,
"Edgeworth - Cameron Park",2340,1865,1755,2283,1922,1504,1286,712,422,125,0,14200,
"Morisset - Cooranbong",1563,1728,1610,1400,1746,1970,1951,1630,1078,284,3,14963,
"Toronto - Awaba",1360,1588,1368,1233,1638,1817,2018,1409,752,238,3,13425,
"Wangi Wangi - Rathmines",912,1025,801,860,1073,1350,1566,935,334,43,0,8897,
"West Wallsend - Barnsley - Killingworth",897,884,776,886,846,910,805,328,127,15,0,6481,
"Adamstown - Kotara",2105,1916,1929,2119,2252,1865,1431,1189,675,122,0,15600,
"Beresfield - Hexham",1074,986,1099,929,1009,1107,1054,776,288,38,0,8358,
"Hamilton - Broadmeadow",1237,1177,1959,1565,1567,1641,1317,775,467,136,0,11847,
"Lambton - New Lambton",2139,2097,1969,2056,2465,2243,1669,1056,659,158,8,16526,
"Maryland - Fletcher - Minmi",2204,2086,1703,2020,2140,1593,1137,520,146,14,0,13570,
"Mayfield - Warabrook",1663,1290,2712,2318,1845,1948,1487,852,547,209,3,14873,
"Merewether - The Junction",1563,1570,2078,1689,1900,1936,1446,835,497,104,3,13622,
"Newcastle - Cooks Hill",703,746,2582,1714,1304,1457,1271,682,245,50,0,10757,
"Newcastle Port - Kooragang",5,0,0,4,0,0,3,0,0,0,0,16,
"Shortland - Jesmond",1154,1573,3718,1409,903,884,713,593,450,154,3,11544,
"Stockton - Fullerton Cove",741,629,640,759,830,1138,1351,930,397,73,5,7495,
"Wallsend - Elermore Vale",2288,2157,2763,2467,2316,2342,2336,1687,998,266,0,19628,
"Waratah - North Lambton",1391,1111,2350,1755,1376,1360,1030,769,639,266,9,12059,
"Wickham - Carrington - Tighes Hill",887,613,1558,1479,1058,1074,745,354,206,31,0,8003,
"Ballina",1507,1553,1427,1557,1923,2379,2789,2058,1490,418,9,17115,
"Ballina Region",2023,2181,1197,1613,2262,2534,2476,1593,763,195,0,16835,
"Bangalow",666,680,401,601,958,984,853,330,136,56,0,5670,
"Brunswick Heads - Ocean Shores",887,988,619,925,1250,1349,1260,605,276,58,0,8212,
"Byron Bay",903,871,1270,1422,1319,1477,1327,560,253,94,6,9503,
"Evans Head",561,578,372,493,615,820,862,588,278,40,0,5219,
"Lennox Head - Skennars Head",980,1045,552,883,1174,1259,1073,535,211,37,0,7741,
"Mullumbimby",923,932,549,779,1222,1394,1374,511,252,64,0,7994,
"Casino",1688,1630,1308,1147,1406,1448,1580,1203,688,133,3,12231,
"Casino Region",801,952,550,597,849,1250,1106,606,221,45,0,6972,
"Goonellabah",1630,1653,1558,1558,1485,1675,1604,1107,686,170,5,13122,
"Kyogle",774,855,520,584,907,1294,1309,640,355,81,0,7312,
"Lismore",1698,1882,2050,1776,1968,2230,1820,1060,625,177,3,15282,
"Lismore Region",1670,2041,1003,1401,2157,2835,2531,1000,352,41,6,15028,
"Kingscliff - Fingal Head",1588,1572,1011,1454,1765,1917,1867,1213,618,132,3,13150,
"Murwillumbah",1118,1106,735,930,1091,1272,1165,814,532,164,8,8942,
"Murwillumbah Region",1062,1169,751,872,1285,1850,1675,678,279,34,0,9653,
"Pottsville",1849,1605,985,1559,1871,1933,1698,1082,502,92,0,13181,
"Tweed Heads",1756,1782,1802,1984,2177,2682,3040,2363,1477,349,4,19418,
"Banora Point",1614,1713,1359,1450,1817,2002,2207,1988,1184,298,5,15636,
"Terranora - North Tumblegum",434,529,274,350,453,507,394,210,82,15,0,3249,
"Tweed Heads South",715,699,700,703,810,927,1224,1302,884,186,0,8146,
"Griffith (NSW)",2700,2401,2677,2503,2325,2276,1841,1303,906,208,0,19143,
"Griffith Region",1790,1837,1433,1406,1807,1953,1444,789,349,66,0,12880,
"Leeton",1246,1694,1101,985,1240,1391,1069,844,426,86,0,10086,
"Narrandera",813,698,553,617,713,885,829,537,313,64,8,6034,
"Tumbarumba",375,358,311,381,443,555,520,344,132,42,0,3445,
"Tumut",799,752,640,699,760,855,781,585,337,69,4,6275,
"Tumut Region",538,577,364,464,588,753,757,433,213,28,0,4715,
"Cootamundra",840,825,624,697,835,1067,1174,951,452,93,4,7566,
"Gundagai",435,536,300,376,439,485,492,338,153,35,0,3596,
"Junee",727,698,821,853,852,881,755,434,182,43,0,6245,
"Temora",845,852,577,589,783,972,943,714,372,75,5,6717,
"Wagga Wagga - East",2256,2355,1914,1995,2133,2089,1972,1217,562,80,0,16585,
"Wagga Wagga - North",560,640,1084,562,489,413,257,209,149,37,0,4404,
"Wagga Wagga - South",3237,2925,2900,2814,2696,2529,2035,1223,699,215,0,21266,
"Wagga Wagga - West",1387,1391,2392,1581,1256,1407,1172,854,535,173,4,12155,
"Wagga Wagga Region",2099,2060,1681,1570,1868,2066,1808,1093,488,81,0,14819,
"Berry - Kangaroo Valley",834,769,558,712,883,1316,1652,1323,623,120,0,8788,
"Callala Bay - Currarong",290,442,291,239,433,590,640,490,173,27,0,3611,
"Culburra Beach",423,449,409,422,482,777,869,700,351,68,3,4962,
"Ettrema - Sassafras - Budawang",7,0,4,0,7,12,20,0,0,0,0,54,
"Huskisson - Vincentia",389,350,324,416,455,670,779,525,242,43,0,4194,
"North Nowra - Bomaderry",1901,1924,1671,1683,1851,2137,2274,1434,738,142,0,15759,
"Nowra",2749,2451,2950,2476,2400,2345,2234,1489,800,152,0,20040,
"St Georges Basin - Erowal Bay",1499,1615,1175,1211,1566,1806,2292,1847,844,141,0,14006,
"Sussex Inlet - Berrara",314,315,268,285,361,654,935,773,367,76,6,4345,
"Tomerong - Wandandian - Woollamia",370,422,267,313,483,594,597,268,72,12,0,3405,
"Ulladulla",1533,1590,992,1287,1663,2172,2778,2056,1035,181,0,15279,
"Ulladulla Region",458,500,271,378,586,960,1079,584,220,17,4,5063,
"Bowral",1231,1492,725,883,1500,1619,2103,2064,1074,249,0,12948,
"Hill Top - Colo Vale",895,899,694,678,900,851,631,374,99,8,0,6026,
"Mittagong",972,1192,830,857,1128,1244,1247,969,476,88,0,8999,
"Moss Vale - Berrima",1177,1353,928,1043,1185,1334,1271,996,408,101,6,9801,
"Robertson - Fitzroy Falls",386,451,264,265,510,515,616,386,101,11,0,3506,
"Southern Highlands",643,737,396,478,829,1040,1276,837,292,60,4,6585,
"Baulkham Hills (East)",3573,2654,2175,3744,3604,2493,2211,1606,704,175,0,22943,
"Baulkham Hills (West) - Bella Vista",2581,2866,2642,2293,2942,2918,2325,1097,357,38,3,20068,
"Glenhaven",685,880,649,484,809,882,783,654,364,65,0,6253,
"West Pennant Hills",1417,1753,1558,1326,1574,2093,1821,779,232,75,0,12640,
"Castle Hill - Central",1087,964,809,1211,1124,892,811,511,185,21,0,7609,
"Castle Hill - East",488,673,526,356,642,760,467,486,755,420,5,5594,
"Castle Hill - North",1399,1780,1237,1222,1744,1727,1549,850,329,48,0,11886,
"Castle Hill - South",1331,1243,1027,1281,1372,1194,1152,646,235,42,0,9519,
"Castle Hill - West",708,858,603,604,836,811,526,207,71,14,0,5239,
"Cherrybrook",1959,3069,2103,1695,2862,2957,2207,1136,586,197,0,18768,
"Kellyville",3519,3753,2605,3206,3929,2927,1989,968,295,38,0,23231,
"Dural - Kenthurst - Wisemans Ferry",2415,3227,2285,1857,3088,3129,2585,1599,684,153,0,21019,
"Galston - Laughtondale",568,757,505,431,760,780,618,464,240,81,3,5210,
"Bilpin - Colo - St Albans",269,336,222,228,427,489,367,260,68,12,0,2691,
"Kurrajong Heights - Ebenezer",2797,3243,2612,2329,3360,3334,2485,1262,412,75,3,21898,
"Pitt Town - McGraths Hill",1548,1507,1190,1291,1610,1386,1093,653,213,43,0,10531,
"Rouse Hill - Beaumont Hills",3763,3906,2407,3210,4158,2551,1622,764,221,40,0,22651,
"Blacktown (East) - Kings Park",2669,1603,2938,3711,1912,1558,1264,725,435,106,0,16920,
"Blacktown (North) - Marayong",2612,2181,2665,2952,2164,1978,1872,940,494,156,0,18024,
"Doonside - Woodcroft",3204,3102,3304,3547,2994,2922,2178,861,345,68,0,22526,
"Lalor Park - Kings Langley",3497,3021,3139,3696,3383,3203,2750,1312,737,151,5,24874,
"Seven Hills - Toongabbie",3302,2907,3199,3951,3246,2814,2507,1390,527,75,0,23920,
"Blacktown (South)",1789,1638,1759,1940,1635,1489,1063,684,306,38,0,12325,
"Blacktown (West)",2328,2089,2360,2620,2075,1897,1238,875,531,146,0,16154,
"Glenwood",2397,2750,2005,2320,2724,2008,1231,536,150,11,0,16128,
"Parklea - Kellyville Ridge",6334,4445,3600,6800,5525,2963,1899,816,238,20,0,32645,
"Riverstone - Marsden Park",2799,2187,2419,3171,2412,1816,1429,774,257,41,0,17307,
"Acacia Gardens",626,501,491,727,553,488,275,93,30,3,0,3796,
"Quakers Hill",3875,3183,2966,4177,3381,2639,1774,641,256,48,3,22945,
"Bidwill - Hebersham - Emerton",3183,2984,2674,2159,2222,2084,1836,997,275,25,0,18439,
"Glendenning - Dean Park",1417,1297,1164,1383,1210,960,524,240,114,44,3,8354,
"Hassall Grove - Plumpton",3098,3518,3129,2773,3043,2759,1505,544,259,52,0,20673,
"Lethbridge Park - Tregear",3944,3082,3090,3122,2399,1997,1559,1153,322,35,0,20705,
"Mount Druitt - Whalan",3972,3269,3344,3574,2825,2407,1785,1058,411,52,0,22701,
"Prospect Reservoir",4,5,7,4,9,0,6,0,0,0,0,39,
