Australian Bureau of Statistics

"2016 Experimental IHAD - Counting Families, Place of Enumeration"
"SA2 by RNTRD Rent (weekly) Ranges"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"Kogarah Bay - Carlton - Allawah",56,5,11,28,12,26,19,27,10,22,20,51,33,88,111,334,217,800,317,107,30,12,8,66,4060,6467,
"Monterey - Brighton-le-Sands - Kyeemagh",58,8,11,43,13,33,10,25,13,29,30,65,47,130,131,308,143,582,258,125,61,20,31,57,3960,6184,
"Rockdale - Banksia",67,19,4,44,24,35,19,43,41,50,32,89,47,110,96,300,226,1156,650,165,42,11,34,119,4642,8055,
"Sans Souci - Ramsgate",60,18,8,68,8,20,10,28,13,32,14,35,39,85,99,214,132,477,266,143,71,31,33,70,5084,7047,
"Concord - Mortlake - Cabarita",57,14,12,61,9,34,17,25,19,28,3,53,13,46,36,99,48,366,282,444,195,126,131,77,6422,8630,
"Concord West - North Strathfield",88,15,13,49,18,31,5,40,25,48,25,49,34,60,25,68,49,1152,1354,1160,276,103,102,153,5738,10686,
"Drummoyne - Rodd Point",76,12,7,65,8,30,18,19,15,15,23,41,8,36,29,72,48,499,459,340,213,110,177,68,5425,7828,
"Five Dock - Abbotsford",66,23,20,161,36,68,24,45,25,28,9,40,20,38,23,93,47,641,675,453,238,71,119,72,5787,8810,
"Balmain",74,27,18,155,31,40,27,43,33,58,12,56,32,55,38,89,44,257,304,405,248,170,351,77,4553,7180,
"Leichhardt - Annandale",82,17,36,152,31,46,45,62,52,74,93,105,94,154,116,172,98,529,645,629,406,239,293,124,6959,11245,
"Lilyfield - Rozelle",32,19,13,139,21,25,17,26,22,26,14,37,32,46,26,48,42,266,298,274,294,180,279,62,3929,6173,
"Ashfield",90,12,18,42,35,71,53,85,76,80,52,169,105,266,276,614,431,1579,513,197,128,42,45,146,5377,10520,
"Burwood - Croydon",106,23,20,126,23,52,57,79,54,73,50,121,59,120,88,230,105,1056,794,646,232,104,79,190,5497,9977,
"Canterbury (North) - Ashbury",28,0,4,14,5,16,4,27,5,12,20,30,25,81,66,119,59,325,190,74,36,13,6,35,3063,4264,
"Croydon Park - Enfield",50,13,14,104,19,30,22,40,21,26,22,55,64,197,120,191,96,362,287,117,46,12,27,77,4743,6748,
"Dulwich Hill - Lewisham",55,8,17,27,18,51,53,69,41,51,53,102,86,209,153,308,189,800,397,201,114,75,43,62,4399,7574,
"Haberfield - Summer Hill",52,8,0,17,10,30,19,37,18,52,36,49,27,116,135,202,117,539,211,102,79,51,49,40,3569,5568,
"Homebush",48,18,18,62,30,30,27,48,22,33,14,55,29,111,130,327,274,1282,428,134,58,30,24,90,3169,6505,
"Strathfield",118,14,12,63,36,53,27,68,26,52,28,73,21,88,75,195,136,1187,863,330,186,89,105,145,5537,9542,
"Strathfield South",13,3,3,9,0,4,7,11,3,6,0,8,4,21,13,27,20,114,86,28,9,0,11,11,924,1342,
"Chatswood (East) - Artarmon",160,23,18,104,27,63,29,49,19,31,37,43,26,43,40,131,92,1205,1502,673,557,271,500,204,6398,12238,
"Chatswood (West) - Lane Cove North",61,5,12,38,16,34,15,41,13,29,6,44,42,84,44,147,147,1048,597,384,174,108,142,88,5550,8872,
"Lane Cove - Greenwich",83,29,28,72,8,18,16,26,18,20,16,46,41,55,38,148,83,750,586,257,221,145,297,78,7689,10772,
"St Leonards - Naremburn",33,11,5,26,6,12,7,14,5,19,16,19,9,24,37,93,55,478,501,427,195,125,191,73,2613,4982,
"Willoughby - Castle Cove - Northbridge",83,11,9,24,6,6,8,20,4,15,10,44,10,21,20,57,39,309,245,179,150,156,441,66,7468,9384,
"Asquith - Mount Colah",39,9,0,11,5,3,3,14,11,8,17,15,10,20,14,26,32,191,229,122,49,29,12,30,5644,6543,
"Berowra - Brooklyn - Cowan",23,3,0,4,0,0,0,5,4,14,11,13,8,15,7,23,13,108,142,65,20,7,5,16,3691,4200,
"Normanhurst - Thornleigh - Westleigh",41,9,13,52,22,41,19,21,16,25,11,30,10,20,8,20,17,170,222,146,65,29,17,51,5505,6586,
"Hornsby - East",33,10,15,56,13,37,20,35,31,19,19,44,24,80,71,294,247,1296,295,43,12,8,8,76,2465,5247,
"Hornsby - West",29,7,5,59,20,15,26,26,17,18,25,71,25,41,36,92,55,219,156,91,36,13,4,39,3105,4236,
"Waitara - Wahroonga (West)",29,5,9,33,14,18,10,16,8,14,11,20,6,26,20,80,86,596,296,98,35,24,19,40,2493,4017,
"Gordon - Killara",77,3,6,11,7,17,3,9,4,10,3,16,11,20,14,37,12,312,286,327,175,145,335,62,6126,8025,
"Lindfield - Roseville",76,10,10,4,9,10,4,11,22,17,7,25,23,31,19,50,27,310,251,202,126,102,368,56,6756,8520,
"Pymble",38,6,8,5,6,4,0,3,4,8,3,19,0,3,0,10,3,100,141,128,77,70,184,26,4912,5753,
"St Ives",48,0,0,0,0,3,3,0,3,3,0,12,5,4,4,10,5,71,212,152,121,103,248,44,6585,7638,
"Turramurra",34,7,3,8,12,19,0,17,6,13,3,11,0,13,8,19,18,156,175,95,96,64,179,33,6167,7159,
"Wahroonga (East) - Warrawee",41,0,0,0,5,4,0,6,0,0,4,17,4,11,9,20,16,121,190,124,85,38,160,28,5392,6292,
"Cremorne - Cammeray",77,6,7,32,7,22,9,22,22,19,15,47,35,60,63,148,102,753,825,554,327,176,357,85,5399,9176,
"Crows Nest - Waverton",63,20,15,78,13,24,11,33,7,25,15,35,27,57,92,187,127,940,1005,513,318,225,289,104,4707,8933,
"Mosman",99,9,3,30,14,23,11,32,12,27,10,39,27,92,119,215,156,809,647,370,262,184,685,115,8436,12426,
"Neutral Bay - Kirribilli",79,18,12,138,21,35,17,28,26,27,22,66,67,165,183,333,169,949,798,571,311,220,399,93,4598,9351,
"North Sydney - Lavender Bay",69,3,7,15,9,12,3,17,14,20,9,24,22,44,25,109,79,485,533,411,311,195,389,89,2713,5613,
"Balgowlah - Clontarf - Seaforth",46,7,0,22,8,20,13,10,8,17,11,26,7,13,21,45,17,263,236,143,117,90,375,48,5905,7481,
"Manly - Fairlight",91,14,5,97,10,22,41,28,22,23,18,42,17,54,21,103,70,597,724,683,481,348,769,116,5642,10041,
"Avalon - Palm Beach",38,4,0,5,0,7,4,6,0,8,9,18,6,10,16,17,19,116,88,92,84,49,152,22,4041,4798,
"Bayview - Elanora Heights",31,5,0,4,12,4,0,9,4,6,0,7,7,11,7,13,3,42,48,42,41,30,87,23,3769,4200,
"Newport - Bilgola",24,0,0,0,0,7,0,0,4,11,5,20,7,32,22,46,28,176,117,96,84,60,136,28,4240,5155,
"Warriewood - Mona Vale",62,3,5,5,6,8,3,22,22,9,15,32,13,35,28,50,27,244,268,299,204,130,197,56,7501,9245,
"Beacon Hill - Narraweena",26,22,13,121,36,37,26,23,6,22,10,19,12,40,5,14,4,60,84,112,132,80,81,57,4096,5152,
"Cromer",15,0,0,3,5,9,0,3,6,10,3,12,3,6,3,10,10,41,41,39,50,41,37,23,2470,2837,
"Dee Why - North Curl Curl",77,20,15,49,11,30,14,35,15,44,17,60,44,125,138,276,190,1632,838,384,149,76,161,99,6494,10987,
"Forestville - Killarney Heights",35,5,10,50,12,10,6,11,4,14,3,3,0,9,5,10,13,48,78,86,105,99,100,27,3857,4601,
"Frenchs Forest - Belrose",43,7,0,5,0,3,3,7,0,6,10,15,8,11,5,12,9,34,62,112,176,151,239,35,7965,8911,
"Freshwater - Brookvale",67,5,5,68,13,16,8,20,13,25,14,40,28,45,56,128,96,683,674,318,190,107,252,51,5764,8684,
"Manly Vale - Allambie Heights",28,36,64,33,16,27,27,38,14,21,8,21,15,50,30,66,42,341,209,149,103,76,137,49,4709,6296,
"Narrabeen - Collaroy",54,6,17,58,55,24,10,33,37,27,15,44,13,53,59,108,78,635,483,286,196,108,198,75,7400,10080,
"Terrey Hills - Duffys Forest",16,0,0,0,6,4,0,0,0,7,0,9,0,0,4,4,0,12,22,20,16,10,36,9,1080,1251,
"Camden - Ellis Lane",15,10,8,65,9,20,11,13,0,23,15,47,18,40,38,93,47,181,54,13,4,0,5,17,4072,4833,
"Elderslie - Harrington Park",28,5,6,37,20,14,13,30,28,30,12,44,20,67,57,100,62,522,208,46,6,3,4,44,5848,7259,
"Mount Annan - Currans Hill",23,7,8,23,9,18,16,34,11,24,12,40,28,85,88,284,180,934,206,16,9,0,0,63,7713,9834,
"Bradbury - Wedderburn",36,40,36,223,107,146,99,126,71,102,95,151,116,356,248,273,72,231,35,3,0,5,6,105,4497,7180,
"Campbelltown - Woodbine",27,23,26,130,22,66,52,80,33,105,104,199,128,323,224,466,117,412,95,9,0,0,5,79,4624,7371,
"Claymore - Eagle Vale - Raby",35,25,33,89,57,100,61,161,84,87,34,90,107,219,140,254,78,209,33,4,0,0,3,66,5254,7222,
"Holsworthy Military Area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ingleburn - Denham Court",64,25,13,81,21,57,45,44,25,56,49,141,163,278,173,245,130,335,117,19,0,0,0,55,5392,7519,
"Leumeah - Minto Heights",28,25,14,94,29,51,41,59,29,65,89,200,109,255,177,202,89,223,23,0,0,0,4,50,4631,6502,
"Macquarie Fields - Glenfield",29,45,42,219,108,163,110,138,70,81,57,197,246,383,179,268,104,380,86,19,11,6,3,101,5623,8668,
"Minto - St Andrews",35,24,20,170,53,83,52,74,38,66,74,155,102,224,188,259,71,212,64,14,0,4,6,84,5028,7107,
"Rosemeadow - Glen Alpine",34,17,19,122,81,108,69,81,34,64,67,177,100,318,224,274,69,190,58,15,11,5,0,100,5274,7497,
"Bargo",13,0,0,3,8,11,10,13,0,7,6,22,8,26,26,30,5,54,21,12,0,0,0,13,1886,2177,
"Douglas Park - Appin",32,3,3,4,3,4,9,13,6,11,8,26,3,18,8,17,9,70,59,18,7,8,5,15,2954,3322,
"Picton - Tahmoor - Buxton",56,3,10,9,6,56,41,60,20,56,41,111,48,140,135,166,43,189,37,17,11,0,0,40,5002,6305,
"The Oaks - Oakdale",37,3,0,10,3,16,12,15,6,14,6,24,16,26,24,33,15,54,23,11,6,0,8,21,2738,3123,
"Blackheath - Megalong Valley",20,8,4,12,6,21,13,36,16,42,46,75,46,60,34,57,15,39,8,0,0,0,0,21,2088,2678,
"Blaxland - Warrimoo - Lapstone",24,0,5,14,7,16,21,39,18,42,11,55,34,88,76,118,60,244,88,26,8,3,3,34,6100,7134,
"Blue Mountains - North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,
"Katoomba - Leura",56,12,13,44,23,105,72,81,61,139,84,190,83,172,132,126,53,139,42,7,6,3,12,68,4531,6242,
"Lawson - Hazelbrook - Linden",27,5,0,4,6,32,15,25,22,42,25,73,45,108,53,66,28,60,13,7,0,0,0,19,3924,4599,
"Springwood - Winmalee",37,3,8,4,14,30,18,35,25,69,44,87,49,155,96,138,66,217,48,12,6,3,0,30,7202,8392,
"Wentworth Falls",27,7,0,4,8,15,10,20,10,19,15,46,27,49,34,71,25,71,31,5,0,0,5,17,2154,2650,
"Blue Mountains - South",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,
"Cambridge Park",22,3,0,23,9,22,20,35,27,42,32,90,90,211,175,218,80,202,19,8,0,0,0,31,4645,6013,
"Castlereagh - Cranebrook",33,10,20,65,38,64,42,65,41,86,26,91,43,169,133,234,102,667,275,48,15,4,10,75,6154,8512,
"Emu Plains - Leonay",42,3,4,45,9,13,11,23,8,16,13,29,26,76,63,143,59,189,77,19,5,0,0,21,4464,5355,
"Glenmore Park - Regentville",15,6,0,20,0,11,4,11,17,49,18,40,28,81,141,242,106,559,119,32,12,4,0,35,5691,7254,
"Jamisontown - South Penrith",32,10,12,56,23,34,21,44,36,60,63,155,91,310,212,295,121,293,58,17,0,0,4,55,5012,6998,
"Kingswood - Werrington",18,32,21,126,48,118,60,102,80,212,213,283,229,429,336,328,97,237,36,20,0,0,3,86,4647,7779,
"Mulgoa - Luddenham - Orchard Hills",45,0,0,3,5,4,6,12,8,18,12,22,10,23,9,57,3,155,106,24,22,11,0,23,2684,3263,
"Penrith",33,42,38,209,48,80,72,98,62,198,232,313,185,510,267,252,83,199,91,14,3,3,9,106,3090,6232,
"Warragamba - Silverdale",17,0,0,0,0,10,0,0,5,8,5,25,12,20,23,17,0,26,12,7,0,0,0,4,1601,1797,
"Richmond - Clarendon",46,8,14,24,12,89,44,60,40,102,82,170,117,197,161,253,111,273,40,11,0,9,5,42,3713,5619,
"Windsor - Bligh Park",32,17,12,54,12,117,63,103,88,132,64,138,93,201,197,294,115,348,40,23,6,7,8,80,3888,6145,
"Yarramundi - Londonderry",28,0,0,0,0,7,8,16,0,10,7,21,7,30,21,27,18,63,34,17,15,0,0,23,1802,2162,
"Erskine Park",5,0,0,3,0,0,0,5,4,8,3,13,5,41,41,64,28,96,26,3,3,0,0,6,1826,2180,
"St Clair",29,3,4,9,11,9,3,16,6,15,17,66,28,131,107,275,126,324,61,14,5,0,0,35,5772,7070,
"Colyton - Oxley Park",31,7,7,28,13,23,16,26,23,42,34,98,79,227,184,256,100,120,15,13,0,0,0,44,3025,4393,
"St Marys - North St Marys",36,33,22,151,37,116,47,105,53,147,235,299,201,489,367,434,97,124,40,9,5,0,3,96,3485,6633,
"Homebush Bay - Silverwater",53,0,0,5,4,17,0,9,17,31,18,38,20,28,34,169,223,1422,843,247,148,40,31,82,4065,7541,
"Rookwood Cemetery",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Auburn - Central",52,13,14,55,32,42,13,32,14,21,24,98,56,138,75,238,154,786,370,65,19,11,12,100,3209,5646,
"Auburn - North",42,0,11,48,22,27,25,41,36,71,40,122,149,376,240,360,150,438,99,12,8,5,9,78,1681,4079,
"Auburn - South",30,5,13,54,15,25,18,20,17,19,6,25,12,46,20,74,25,205,85,36,21,0,0,45,1917,2749,
"Berala",31,3,13,39,10,37,24,23,18,43,31,104,68,160,107,114,61,272,81,19,12,0,3,46,1955,3245,
"Lidcombe",74,28,14,45,23,50,35,52,25,36,24,91,34,96,95,280,112,788,509,219,80,14,26,153,4479,7367,
"Regents Park",6,12,8,61,8,28,24,17,10,18,13,43,27,77,36,83,45,175,30,11,0,0,6,40,1082,1849,
"Carlingford",65,15,3,44,38,38,18,15,23,55,20,41,22,50,26,118,76,817,519,246,106,37,15,89,7650,10128,
"Ermington - Rydalmere",59,70,54,262,70,116,63,94,106,164,49,90,45,92,68,140,91,620,307,127,48,11,9,113,5101,7976,
"Oatlands - Dundas Valley",60,81,52,300,74,106,68,88,53,55,31,69,29,69,59,150,89,438,303,117,32,16,11,93,4599,7061,
"Chester Hill - Sefton",66,45,30,237,45,105,50,76,37,68,34,87,45,120,81,217,70,450,138,37,6,0,5,92,4140,6297,
"Fairfield - East",63,39,37,206,57,147,67,95,71,131,114,193,73,135,88,143,52,239,46,27,5,3,3,101,3341,5461,
"Granville - Clyde",78,44,33,127,44,97,46,89,30,74,37,114,95,240,212,416,228,650,176,44,13,9,12,117,4464,7463,
"Greystanes - Pemulwuy",47,11,9,46,14,27,14,33,33,41,18,32,17,60,43,146,129,573,249,85,15,3,8,39,7661,9349,
"Guildford - South Granville",60,66,64,254,58,178,79,156,52,94,35,118,62,151,111,292,141,524,128,42,13,0,9,121,4282,7088,
"Guildford West - Merrylands West",58,30,42,139,55,113,62,95,32,56,53,120,115,292,236,369,118,485,186,88,24,0,11,94,4791,7654,
"Merrylands - Holroyd",87,40,28,193,58,111,82,125,52,89,57,178,156,497,397,572,284,937,307,122,28,20,12,159,5945,10536,
"Smithfield Industrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Yennora Industrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"North Parramatta",80,30,46,195,41,97,49,99,37,70,76,161,132,394,421,689,384,1395,442,81,24,18,12,134,4247,9341,
"North Rocks",23,0,0,0,0,0,0,0,0,0,0,8,5,13,7,17,8,81,98,51,26,11,0,15,2461,2824,
"Northmead",24,10,20,108,32,70,32,63,48,48,20,77,66,145,207,610,491,1548,240,30,9,7,14,99,4275,8283,
"Parramatta - Rosehill",78,39,42,173,48,113,51,98,43,118,103,339,246,770,763,1389,574,2003,783,129,63,23,28,195,4352,12568,
"Toongabbie - Constitution Hill",57,15,23,103,34,63,34,63,36,53,27,78,28,127,153,289,201,627,170,55,18,3,7,74,6121,8454,
"Winston Hills",19,3,0,0,0,4,8,4,3,3,3,8,5,9,3,19,13,176,102,33,6,0,4,22,3372,3822,
"Pendle Hill - Girraween",20,16,37,102,17,43,39,41,26,32,14,38,33,118,126,347,139,366,75,28,6,0,0,57,3004,4742,
"Wentworthville - Westmead",29,34,27,217,44,83,49,72,24,44,30,66,42,146,227,602,344,717,149,34,15,3,11,85,2878,5965,
"Epping - North Epping",103,3,7,27,4,31,42,52,17,26,17,34,28,25,28,115,154,839,860,333,153,85,60,90,7215,10351,
"Pennant Hills - Cheltenham",40,3,13,27,9,17,14,16,15,11,8,23,14,44,28,47,33,211,218,140,92,37,42,32,6307,7447,
"Eastwood - Denistone",93,19,12,79,23,85,44,79,36,55,25,41,24,109,70,250,157,529,450,288,126,50,64,148,6869,9722,
"Gladesville - Huntleys Point",51,18,21,148,23,44,21,27,9,24,10,47,45,137,100,171,91,332,219,143,83,48,73,61,4141,6087,
"Hunters Hill - Woolwich",24,13,8,67,13,22,8,11,8,12,0,13,3,14,16,31,10,101,77,57,32,34,106,32,2863,3592,
"Macquarie Park - Marsfield",87,33,17,107,42,77,42,64,48,62,35,48,28,101,92,290,325,1650,544,313,99,43,52,146,4774,9122,
"North Ryde - East Ryde",25,15,11,63,17,36,23,36,22,16,6,32,11,11,9,20,11,113,163,138,81,45,49,42,3565,4546,
"West Ryde - Meadowbank",61,19,11,61,29,49,25,47,34,60,59,163,182,326,319,444,215,772,517,225,82,28,30,85,4583,8420,
"Putney",13,0,0,4,0,0,0,0,5,7,0,0,0,8,0,8,3,16,38,47,20,17,24,10,1286,1503,
"Ryde",100,15,28,119,43,55,43,68,44,65,35,102,80,238,247,378,185,880,800,434,140,74,76,138,6910,11314,
"Ashcroft - Busby - Miller",35,102,83,449,127,264,153,178,87,113,65,135,96,205,197,263,72,128,24,3,9,4,0,118,3418,6334,
"Austral - Greendale",79,3,5,5,5,7,5,22,8,30,20,58,24,77,27,65,23,166,82,40,18,10,4,52,2255,3093,
"Cobbitty - Leppington",38,0,0,0,14,16,5,11,18,40,16,37,22,39,23,66,12,444,487,64,20,4,3,56,4845,6293,
"Badgerys Creek",3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,
"Cecil Hills",9,0,0,0,0,0,0,0,0,4,0,7,0,4,3,3,15,136,62,17,8,0,6,11,1831,2119,
"Green Valley",32,14,6,37,14,24,6,28,19,26,9,27,22,56,39,142,61,294,88,13,5,0,5,51,3016,4007,
"Hinchinbrook",25,3,0,7,0,7,7,13,11,13,11,27,10,18,23,67,61,275,110,12,3,4,9,20,3151,3877,
"Hoxton Park - Carnes Hill - Horningsea Park",14,0,0,10,3,16,7,12,5,8,5,22,0,16,19,52,35,301,132,19,0,0,3,18,2893,3602,
"West Hoxton - Middleton Grange",21,0,0,3,0,0,0,3,10,24,15,15,5,17,10,38,11,383,223,41,9,0,0,33,3812,4671,
"Bonnyrigg Heights - Bonnyrigg",22,15,18,73,26,86,58,109,91,99,39,84,39,100,46,150,66,282,94,10,4,0,4,65,3734,5336,
"Bossley Park - Abbotsbury",31,4,8,31,20,43,26,36,21,28,18,34,19,40,36,130,123,445,122,35,4,5,0,51,4901,6196,
"Cabramatta - Lansvale",130,27,25,94,39,118,42,112,71,228,309,927,261,398,155,329,113,292,49,9,7,3,8,136,5232,9121,
"Cabramatta West - Mount Pritchard",55,32,27,158,42,90,46,101,32,63,37,94,38,146,119,240,74,296,86,18,11,0,0,81,4154,6055,
"Canley Vale - Canley Heights",72,18,16,161,47,124,57,121,46,122,88,244,106,263,141,313,78,391,54,30,11,0,4,106,4747,7359,
"Edensor Park",22,9,9,16,12,28,13,31,9,19,3,21,9,42,21,71,61,201,86,11,0,0,3,33,2488,3221,
"Fairfield",49,31,25,128,45,112,67,127,44,127,123,395,342,414,235,377,161,403,81,19,7,4,5,76,3078,6481,
"Fairfield - West",53,13,13,87,26,47,27,76,46,76,25,79,50,132,99,282,172,675,104,23,8,0,5,74,4256,6455,
"Greenfield Park - Prairiewood",11,4,3,36,6,37,18,26,5,15,11,23,7,26,26,66,59,202,53,11,0,0,0,14,2083,2754,
"Horsley Park - Kemps Creek",25,3,0,5,0,8,0,5,0,7,7,17,11,21,7,18,7,27,22,8,3,8,0,14,1231,1454,
"Smithfield - Wetherill Park",39,19,20,119,24,97,43,97,41,74,61,86,36,124,96,255,118,473,95,24,9,4,3,73,4429,6465,
"St Johns Park - Wakeley",23,3,5,11,3,21,9,21,10,14,14,27,15,41,19,88,41,214,36,15,0,0,0,31,2989,3645,
"Wetherill Park Industrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,
"Casula",30,18,10,81,16,41,23,43,24,23,11,37,20,77,60,173,130,421,130,28,0,0,5,56,3978,5437,
"Chipping Norton - Moorebank",40,4,0,25,7,15,9,18,9,21,15,33,19,55,69,113,53,357,170,76,20,0,5,46,5498,6694,
"Holsworthy - Wattle Grove",23,6,0,23,6,10,16,22,135,189,29,72,19,52,33,117,57,672,168,58,7,4,9,52,5098,6878,
"Liverpool",75,26,43,186,38,122,77,120,61,206,338,777,484,612,319,489,288,696,79,13,15,3,21,146,5265,10504,
"Lurnea - Cartwright",17,55,45,205,53,109,56,97,47,54,17,48,47,141,109,169,73,168,24,9,0,0,6,80,2683,4319,
"Prestons - Edmondson Park",26,0,5,4,0,5,0,13,20,20,6,23,3,19,14,56,36,326,242,44,9,0,0,40,4477,5411,
"Warwick Farm",17,43,22,144,47,69,46,56,22,75,108,205,77,72,76,130,69,170,16,5,0,0,7,56,1099,2642,
"Gymea - Grays Point",35,3,8,31,8,15,11,16,10,23,7,26,14,33,37,115,56,293,204,154,55,17,11,38,5358,6579,
"Miranda - Yowie Bay",48,17,22,141,29,41,24,48,20,37,23,36,23,68,65,194,170,486,275,101,53,27,32,68,5300,7356,
"Sylvania - Taren Point",46,9,6,40,27,29,18,25,11,22,17,29,10,22,41,79,53,160,113,121,72,34,60,47,5140,6238,
"Caringbah",35,18,22,130,21,37,18,35,40,64,44,41,29,80,91,140,110,431,225,123,43,10,12,58,3421,5267,
"Caringbah South",12,0,0,9,0,6,4,9,5,28,0,10,3,8,9,13,7,58,82,85,45,37,50,20,3939,4438,
"Cronulla - Kurnell - Bundeena",80,14,5,35,9,21,14,43,17,59,57,182,146,270,189,397,167,956,432,224,107,56,80,91,7139,10779,
"Lilli Pilli - Port Hacking - Dolans Bay",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,13,6,22,5,992,1063,
"Woolaware - Burraneer",20,0,3,3,0,13,3,4,3,5,9,19,30,36,18,25,11,36,30,56,31,18,34,21,2430,2857,
"Heathcote - Waterfall",13,0,0,10,0,3,0,3,5,7,7,20,0,8,4,20,7,55,41,19,8,0,0,15,2155,2422,
"Illawong - Alfords Point",9,0,0,4,0,0,0,0,0,3,0,0,0,3,4,5,0,29,59,48,35,19,11,15,3303,3555,
"Menai - Lucas Heights - Woronora",20,0,3,6,4,21,8,38,26,23,23,20,9,28,8,22,18,183,162,119,69,19,16,46,6402,7304,
"Oyster Bay - Como - Jannali",29,8,12,57,22,34,16,29,10,26,11,32,18,38,28,55,21,159,166,101,40,25,25,40,6658,7659,
"Royal National Park",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,
"Sutherland - Kirrawee",48,33,29,163,41,50,29,71,27,38,21,51,41,106,166,508,315,651,268,147,52,8,10,82,6035,8962,
"Engadine",22,0,4,13,0,10,10,13,6,6,3,28,11,34,46,137,52,158,139,68,8,0,0,20,5327,6122,
"Loftus - Yarrawarrah",9,3,0,0,0,5,0,7,0,3,4,5,5,0,3,3,0,51,62,22,14,4,0,6,2404,2611,
"Woronora Heights",0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,6,10,11,3,0,0,3,1143,1200,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,
"Aranda",9,4,0,6,0,0,4,3,3,0,0,12,6,7,7,13,5,41,8,17,3,0,0,4,762,941,
"Belconnen",20,26,36,60,27,40,31,40,13,5,30,168,254,340,239,223,91,204,88,14,3,8,0,53,1187,3215,
"Bruce",30,0,0,7,3,15,18,14,12,51,48,208,155,153,106,153,78,287,103,23,21,7,8,32,1228,2743,
"Charnwood",5,5,19,50,20,22,16,15,5,11,9,11,19,37,34,37,12,20,0,0,0,0,0,26,891,1274,
"Cook",12,5,14,14,8,6,5,0,8,4,3,21,6,25,39,47,18,50,6,0,3,0,0,14,956,1266,
"Dunlop",6,5,10,18,12,20,13,18,7,28,8,13,10,16,37,54,38,129,29,3,3,0,0,19,2111,2600,
"Evatt",22,0,12,25,12,20,11,5,5,6,9,19,13,35,29,65,33,72,17,3,0,0,0,14,1666,2089,
"Florey",24,7,46,45,29,41,27,11,4,9,8,29,23,88,74,78,29,65,13,7,4,0,3,39,1279,1998,
"Flynn (ACT)",8,6,4,15,4,5,4,6,7,5,3,9,0,6,13,30,6,56,9,5,0,0,0,10,1052,1266,
"Fraser",3,0,6,4,6,0,3,3,0,0,0,0,0,7,4,17,10,9,5,0,0,0,0,3,673,766,
"Giralang",8,0,7,6,9,9,9,6,6,4,5,12,4,6,19,24,21,68,24,6,0,5,5,13,1028,1298,
"Gooromon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,
"Hawker",3,9,13,13,8,8,6,12,4,11,38,42,13,26,14,27,11,29,15,4,0,0,0,0,922,1235,
"Higgins",3,0,8,22,15,9,7,12,12,10,6,11,3,12,6,25,17,49,4,0,0,0,0,10,975,1234,
"Holt",16,10,22,37,11,28,16,25,15,33,22,65,46,53,44,62,35,45,6,0,0,0,0,23,1527,2140,
"Kaleen",18,10,22,38,13,18,11,11,7,3,4,11,6,13,43,70,47,176,42,18,10,8,8,20,2181,2799,
"Latham",16,7,3,16,9,11,6,15,14,12,3,6,8,33,37,32,25,42,7,3,0,0,0,12,1175,1468,
"Lawson",0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,4,32,50,
"Macgregor (ACT)",7,0,6,12,12,24,19,17,15,9,0,23,14,54,79,107,56,91,14,0,5,0,0,15,2098,2665,
"Macquarie",16,9,22,30,18,15,12,19,8,17,8,28,40,28,34,50,23,95,13,7,3,0,3,15,689,1178,
"McKellar",9,0,9,21,10,4,3,3,4,0,3,3,3,10,7,22,11,44,9,10,0,0,4,11,839,1055,
"Melba",15,5,17,20,12,12,5,3,4,6,7,20,8,23,22,21,9,42,15,0,0,0,0,5,985,1252,
"Page",7,10,10,21,12,11,10,13,14,12,11,24,23,49,49,69,21,69,10,3,0,0,0,20,827,1295,
