Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR) by IRSD Deciles at SA2 Level (Area)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"IRSD Deciles at SA2 Level (Area)","Decile 1","Decile 2","Decile 3","Decile 4","Decile 5","Decile 6","Decile 7","Decile 8","Decile 9","Decile 10","Not applicable","Total",
"Bondi Junction - Waverly",0,0,0,0,0,0,0,0,16853,0,0,16853,
"Centennial Park",0,0,0,0,0,0,0,0,0,0,0,0,
"Double Bay - Bellevue Hill",0,0,0,0,0,0,0,0,0,24870,0,24870,
"Dover Heights",0,0,0,0,0,0,0,0,0,10830,0,10830,
"Paddington - Moore Park",0,0,0,0,0,0,0,0,0,15171,0,15171,
"Rose Bay - Vaucluse - Watsons Bay",0,0,0,0,0,0,0,0,0,11844,0,11844,
"Woollahra",0,0,0,0,0,0,0,0,0,7686,0,7686,
"Coogee - Clovelly",0,0,0,0,0,0,0,0,25455,0,0,25455,
"Malabar - La Perouse - Chifley",0,0,0,0,0,24036,0,0,0,0,0,24036,
"Kensington (NSW)",0,0,0,0,0,0,0,14887,0,0,0,14887,
"Kingsford",0,0,0,0,15602,0,0,0,0,0,0,15602,
"Maroubra - North",0,0,0,0,0,0,0,0,9812,0,0,9812,
"Maroubra - South",0,0,0,0,10681,0,0,0,0,0,0,10681,
"Maroubra - West",0,0,0,0,0,0,10195,0,0,0,0,10195,
"Randwick - North",0,0,0,0,0,0,0,0,0,16874,0,16874,
"Randwick - South",0,0,0,0,0,0,0,0,13113,0,0,13113,
"Bass Hill - Georges Hall",0,21834,0,0,0,0,0,0,0,0,0,21834,
"Chullora",0,0,0,0,0,900,0,0,0,0,0,900,
"Condell Park",0,0,11305,0,0,0,0,0,0,0,0,11305,
"Greenacre - Mount Lewis",0,25964,0,0,0,0,0,0,0,0,0,25964,
"Padstow",0,0,0,0,16475,0,0,0,0,0,0,16475,
"Panania - Milperra - Picnic Point",0,0,0,0,0,0,25788,0,0,0,0,25788,
"Revesby",0,0,0,0,16223,0,0,0,0,0,0,16223,
"Yagoona - Birrong",0,20706,0,0,0,0,0,0,0,0,0,20706,
"Bankstown - North",16237,0,0,0,0,0,0,0,0,0,0,16237,
"Bankstown - South",15993,0,0,0,0,0,0,0,0,0,0,15993,
"Belmore - Belfield",0,19033,0,0,0,0,0,0,0,0,0,19033,
"Canterbury (South) - Campsie",0,30620,0,0,0,0,0,0,0,0,0,30620,
"Kingsgrove (North) - Earlwood",0,0,0,0,0,23679,0,0,0,0,0,23679,
"Punchbowl",20753,0,0,0,0,0,0,0,0,0,0,20753,
"Roselands",0,0,0,13739,0,0,0,0,0,0,0,13739,
"Lakemba",17019,0,0,0,0,0,0,0,0,0,0,17019,
"Wiley Park",10217,0,0,0,0,0,0,0,0,0,0,10217,
"Hurstville",0,0,0,23613,0,0,0,0,0,0,0,23613,
"Mortdale - Penshurst",0,0,0,0,0,0,23907,0,0,0,0,23907,
"Narwee - Beverly Hills",0,0,0,13781,0,0,0,0,0,0,0,13781,
"Oatley - Hurstville Grove",0,0,0,0,0,0,0,0,12614,0,0,12614,
"Peakhurst - Lugarno",0,0,0,0,0,0,17937,0,0,0,0,17937,
"Riverwood",11277,0,0,0,0,0,0,0,0,0,0,11277,
"South Hurstville - Blakehurst",0,0,0,0,0,24070,0,0,0,0,0,24070,
"Arncliffe - Bardwell Valley",0,0,0,0,21443,0,0,0,0,0,0,21443,
"Bexley",0,0,0,0,26480,0,0,0,0,0,0,26480,
"Kingsgrove (South) - Bardwell Park",0,0,0,0,0,12615,0,0,0,0,0,12615,
"Kogarah",0,0,0,0,0,11315,0,0,0,0,0,11315,
"Kogarah Bay - Carlton - Allawah",0,0,0,0,0,15965,0,0,0,0,0,15965,
"Monterey - Brighton-le-Sands - Kyeemagh",0,0,0,0,13972,0,0,0,0,0,0,13972,
"Rockdale - Banksia",0,0,0,19960,0,0,0,0,0,0,0,19960,
"Sans Souci - Ramsgate",0,0,0,0,0,15976,0,0,0,0,0,15976,
"Concord - Mortlake - Cabarita",0,0,0,0,0,0,0,0,21742,0,0,21742,
"Concord West - North Strathfield",0,0,0,0,0,0,0,24850,0,0,0,24850,
"Drummoyne - Rodd Point",0,0,0,0,0,0,0,0,0,18326,0,18326,
"Five Dock - Abbotsford",0,0,0,0,0,0,0,20440,0,0,0,20440,
"Balmain",0,0,0,0,0,0,0,0,0,15686,0,15686,
"Leichhardt - Annandale",0,0,0,0,0,0,0,0,26388,0,0,26388,
"Lilyfield - Rozelle",0,0,0,0,0,0,0,0,0,13991,0,13991,
"Ashfield",0,0,0,0,24497,0,0,0,0,0,0,24497,
"Burwood - Croydon",0,0,0,0,24653,0,0,0,0,0,0,24653,
"Canterbury (North) - Ashbury",0,0,0,0,0,0,10449,0,0,0,0,10449,
"Croydon Park - Enfield",0,0,0,0,0,17222,0,0,0,0,0,17222,
"Dulwich Hill - Lewisham",0,0,0,0,0,0,16809,0,0,0,0,16809,
"Haberfield - Summer Hill",0,0,0,0,0,0,0,0,13474,0,0,13474,
"Homebush",0,0,0,0,0,16211,0,0,0,0,0,16211,
"Strathfield",0,0,0,0,0,0,25016,0,0,0,0,25016,
"Strathfield South",0,0,0,0,0,0,3542,0,0,0,0,3542,
"Chatswood (East) - Artarmon",0,0,0,0,0,0,28683,0,0,0,0,28683,
"Chatswood (West) - Lane Cove North",0,0,0,0,0,0,0,0,0,20857,0,20857,
"Lane Cove - Greenwich",0,0,0,0,0,0,0,0,0,26733,0,26733,
"St Leonards - Naremburn",0,0,0,0,0,0,0,0,0,10500,0,10500,
"Willoughby - Castle Cove - Northbridge",0,0,0,0,0,0,0,0,0,25463,0,25463,
"Asquith - Mount Colah",0,0,0,0,0,0,0,0,0,18291,0,18291,
"Berowra - Brooklyn - Cowan",0,0,0,0,0,0,0,0,0,11699,0,11699,
"Normanhurst - Thornleigh - Westleigh",0,0,0,0,0,0,0,0,0,18531,0,18531,
"Hornsby - East",0,0,0,0,0,11798,0,0,0,0,0,11798,
"Hornsby - West",0,0,0,0,0,0,0,10684,0,0,0,10684,
"Waitara - Wahroonga (West)",0,0,0,0,0,0,0,9602,0,0,0,9602,
"Gordon - Killara",0,0,0,0,0,0,0,0,0,21328,0,21328,
"Lindfield - Roseville",0,0,0,0,0,0,0,0,0,23147,0,23147,
"Pymble",0,0,0,0,0,0,0,0,0,16354,0,16354,
"St Ives",0,0,0,0,0,0,0,0,0,20456,0,20456,
"Turramurra",0,0,0,0,0,0,0,0,0,19267,0,19267,
"Wahroonga (East) - Warrawee",0,0,0,0,0,0,0,0,0,17822,0,17822,
"Cremorne - Cammeray",0,0,0,0,0,0,0,0,0,19084,0,19084,
"Crows Nest - Waverton",0,0,0,0,0,0,0,0,0,18026,0,18026,
"Mosman",0,0,0,0,0,0,0,0,0,28476,0,28476,
"Neutral Bay - Kirribilli",0,0,0,0,0,0,0,0,0,17852,0,17852,
"North Sydney - Lavender Bay",0,0,0,0,0,0,0,0,0,10703,0,10703,
"Balgowlah - Clontarf - Seaforth",0,0,0,0,0,0,0,0,0,20188,0,20188,
"Manly - Fairlight",0,0,0,0,0,0,0,0,0,21704,0,21704,
"Avalon - Palm Beach",0,0,0,0,0,0,0,0,0,12374,0,12374,
"Bayview - Elanora Heights",0,0,0,0,0,0,0,0,0,10745,0,10745,
"Newport - Bilgola",0,0,0,0,0,0,0,0,0,13186,0,13186,
"Warriewood - Mona Vale",0,0,0,0,0,0,0,0,0,24134,0,24134,
"Beacon Hill - Narraweena",0,0,0,0,0,0,0,13882,0,0,0,13882,
"Cromer",0,0,0,0,0,0,0,0,7485,0,0,7485,
"Dee Why - North Curl Curl",0,0,0,0,0,0,0,24949,0,0,0,24949,
"Forestville - Killarney Heights",0,0,0,0,0,0,0,0,0,12796,0,12796,
"Frenchs Forest - Belrose",0,0,0,0,0,0,0,0,0,25171,0,25171,
"Freshwater - Brookvale",0,0,0,0,0,0,0,0,0,20978,0,20978,
"Manly Vale - Allambie Heights",0,0,0,0,0,0,0,0,16870,0,0,16870,
"Narrabeen - Collaroy",0,0,0,0,0,0,0,0,24771,0,0,24771,
"Terrey Hills - Duffys Forest",0,0,0,0,0,0,0,0,0,3648,0,3648,
"Camden - Ellis Lane",0,0,0,0,0,0,12963,0,0,0,0,12963,
"Elderslie - Harrington Park",0,0,0,0,0,0,0,20980,0,0,0,20980,
"Mount Annan - Currans Hill",0,0,0,0,0,0,0,28576,0,0,0,28576,
"Bradbury - Wedderburn",0,18962,0,0,0,0,0,0,0,0,0,18962,
"Campbelltown - Woodbine",0,0,18194,0,0,0,0,0,0,0,0,18194,
"Claymore - Eagle Vale - Raby",0,20405,0,0,0,0,0,0,0,0,0,20405,
"Holsworthy Military Area",0,0,0,0,0,0,0,0,0,0,0,0,
"Ingleburn - Denham Court",0,0,0,0,19985,0,0,0,0,0,0,19985,
"Leumeah - Minto Heights",0,0,0,16541,0,0,0,0,0,0,0,16541,
"Macquarie Fields - Glenfield",0,23556,0,0,0,0,0,0,0,0,0,23556,
"Minto - St Andrews",0,0,19887,0,0,0,0,0,0,0,0,19887,
"Rosemeadow - Glen Alpine",0,0,20876,0,0,0,0,0,0,0,0,20876,
"Bargo",0,0,0,0,0,5740,0,0,0,0,0,5740,
"Douglas Park - Appin",0,0,0,0,0,0,0,0,9625,0,0,9625,
"Picton - Tahmoor - Buxton",0,0,0,0,0,16786,0,0,0,0,0,16786,
"The Oaks - Oakdale",0,0,0,0,0,0,0,8997,0,0,0,8997,
"Blackheath - Megalong Valley",0,0,0,0,5560,0,0,0,0,0,0,5560,
"Blaxland - Warrimoo - Lapstone",0,0,0,0,0,0,0,0,18936,0,0,18936,
"Blue Mountains - North",0,0,0,0,0,0,0,0,0,0,12,12,
"Katoomba - Leura",0,0,0,13222,0,0,0,0,0,0,0,13222,
"Lawson - Hazelbrook - Linden",0,0,0,0,0,0,11253,0,0,0,0,11253,
"Springwood - Winmalee",0,0,0,0,0,0,0,0,21633,0,0,21633,
"Wentworth Falls",0,0,0,0,0,0,6077,0,0,0,0,6077,
"Blue Mountains - South",0,0,0,0,0,0,0,0,0,0,5,5,
"Cambridge Park",0,0,0,0,15644,0,0,0,0,0,0,15644,
"Castlereagh - Cranebrook",0,0,0,0,0,23724,0,0,0,0,0,23724,
"Emu Plains - Leonay",0,0,0,0,0,0,0,14223,0,0,0,14223,
"Glenmore Park - Regentville",0,0,0,0,0,0,0,21203,0,0,0,21203,
"Jamisontown - South Penrith",0,0,0,0,17288,0,0,0,0,0,0,17288,
"Kingswood - Werrington",0,0,19577,0,0,0,0,0,0,0,0,19577,
"Mulgoa - Luddenham - Orchard Hills",0,0,0,0,0,0,0,0,9541,0,0,9541,
"Penrith",0,13295,0,0,0,0,0,0,0,0,0,13295,
"Warragamba - Silverdale",0,0,0,0,0,0,5195,0,0,0,0,5195,
"Richmond - Clarendon",0,0,0,13839,0,0,0,0,0,0,0,13839,
"Windsor - Bligh Park",0,0,0,15330,0,0,0,0,0,0,0,15330,
"Yarramundi - Londonderry",0,0,0,0,0,7376,0,0,0,0,0,7376,
"Erskine Park",0,0,0,0,0,0,0,6440,0,0,0,6440,
"St Clair",0,0,0,0,0,19895,0,0,0,0,0,19895,
"Colyton - Oxley Park",0,11595,0,0,0,0,0,0,0,0,0,11595,
"St Marys - North St Marys",16074,0,0,0,0,0,0,0,0,0,0,16074,
"Homebush Bay - Silverwater",0,0,0,0,0,0,0,0,18733,0,0,18733,
"Rookwood Cemetery",0,0,0,0,0,0,0,0,0,0,0,0,
"Auburn - Central",17175,0,0,0,0,0,0,0,0,0,0,17175,
"Auburn - North",11325,0,0,0,0,0,0,0,0,0,0,11325,
"Auburn - South",8487,0,0,0,0,0,0,0,0,0,0,8487,
"Berala",0,8898,0,0,0,0,0,0,0,0,0,8898,
"Lidcombe",0,0,19988,0,0,0,0,0,0,0,0,19988,
"Regents Park",0,5067,0,0,0,0,0,0,0,0,0,5067,
"Carlingford",0,0,0,0,0,0,0,27359,0,0,0,27359,
"Ermington - Rydalmere",0,0,0,0,0,21423,0,0,0,0,0,21423,
"Oatlands - Dundas Valley",0,0,0,0,0,17788,0,0,0,0,0,17788,
"Chester Hill - Sefton",18461,0,0,0,0,0,0,0,0,0,0,18461,
"Fairfield - East",15514,0,0,0,0,0,0,0,0,0,0,15514,
"Granville - Clyde",20830,0,0,0,0,0,0,0,0,0,0,20830,
"Greystanes - Pemulwuy",0,0,0,0,0,0,26307,0,0,0,0,26307,
"Guildford - South Granville",20951,0,0,0,0,0,0,0,0,0,0,20951,
"Guildford West - Merrylands West",0,20722,0,0,0,0,0,0,0,0,0,20722,
"Merrylands - Holroyd",0,28452,0,0,0,0,0,0,0,0,0,28452,
"Smithfield Industrial",0,0,0,0,0,0,0,0,0,0,10,10,
"Yennora Industrial",0,0,0,0,0,0,0,0,0,0,14,14,
"North Parramatta",0,0,0,0,22232,0,0,0,0,0,0,22232,
"North Rocks",0,0,0,0,0,0,0,0,0,7878,0,7878,
"Northmead",0,0,0,0,0,0,0,20383,0,0,0,20383,
"Parramatta - Rosehill",0,0,0,0,29243,0,0,0,0,0,0,29243,
"Toongabbie - Constitution Hill",0,0,0,0,0,21936,0,0,0,0,0,21936,
"Winston Hills",0,0,0,0,0,0,0,0,0,10774,0,10774,
"Pendle Hill - Girraween",0,0,0,0,12842,0,0,0,0,0,0,12842,
"Wentworthville - Westmead",0,0,0,0,15599,0,0,0,0,0,0,15599,
"Epping - North Epping",0,0,0,0,0,0,0,0,27093,0,0,27093,
"Pennant Hills - Cheltenham",0,0,0,0,0,0,0,0,0,20495,0,20495,
"Eastwood - Denistone",0,0,0,0,0,0,0,25045,0,0,0,25045,
"Gladesville - Huntleys Point",0,0,0,0,0,0,0,0,14409,0,0,14409,
"Hunters Hill - Woolwich",0,0,0,0,0,0,0,0,0,10341,0,10341,
"Macquarie Park - Marsfield",0,0,0,0,0,0,21728,0,0,0,0,21728,
"North Ryde - East Ryde",0,0,0,0,0,0,0,0,12311,0,0,12311,
"West Ryde - Meadowbank",0,0,0,0,0,0,0,19375,0,0,0,19375,
"Putney",0,0,0,0,0,0,0,0,0,4143,0,4143,
"Ryde",0,0,0,0,0,0,0,27174,0,0,0,27174,
"Ashcroft - Busby - Miller",17335,0,0,0,0,0,0,0,0,0,0,17335,
"Austral - Greendale",0,0,0,8918,0,0,0,0,0,0,0,8918,
"Cobbitty - Leppington",0,0,0,0,0,0,0,17890,0,0,0,17890,
"Badgerys Creek",59,0,0,0,0,0,0,0,0,0,0,59,
"Cecil Hills",0,0,0,0,0,0,7015,0,0,0,0,7015,
"Green Valley",0,12514,0,0,0,0,0,0,0,0,0,12514,
"Hinchinbrook",0,0,0,12295,0,0,0,0,0,0,0,12295,
"Hoxton Park - Carnes Hill - Horningsea Park",0,0,0,0,0,11588,0,0,0,0,0,11588,
"West Hoxton - Middleton Grange",0,0,0,0,0,0,15187,0,0,0,0,15187,
"Bonnyrigg Heights - Bonnyrigg",15980,0,0,0,0,0,0,0,0,0,0,15980,
"Bossley Park - Abbotsbury",0,0,0,18834,0,0,0,0,0,0,0,18834,
"Cabramatta - Lansvale",24708,0,0,0,0,0,0,0,0,0,0,24708,
"Cabramatta West - Mount Pritchard",17188,0,0,0,0,0,0,0,0,0,0,17188,
"Canley Vale - Canley Heights",20819,0,0,0,0,0,0,0,0,0,0,20819,
"Edensor Park",0,9772,0,0,0,0,0,0,0,0,0,9772,
"Fairfield",17704,0,0,0,0,0,0,0,0,0,0,17704,
"Fairfield - West",19088,0,0,0,0,0,0,0,0,0,0,19088,
"Greenfield Park - Prairiewood",0,8336,0,0,0,0,0,0,0,0,0,8336,
"Horsley Park - Kemps Creek",0,0,0,0,0,0,4426,0,0,0,0,4426,
"Smithfield - Wetherill Park",18045,0,0,0,0,0,0,0,0,0,0,18045,
"St Johns Park - Wakeley",0,10866,0,0,0,0,0,0,0,0,0,10866,
"Wetherill Park Industrial",0,0,0,0,0,0,0,0,0,0,36,36,
"Casula",0,0,0,15661,0,0,0,0,0,0,0,15661,
"Chipping Norton - Moorebank",0,0,0,0,0,0,18748,0,0,0,0,18748,
"Holsworthy - Wattle Grove",0,0,0,0,0,0,0,0,20706,0,0,20706,
"Liverpool",27172,0,0,0,0,0,0,0,0,0,0,27172,
"Lurnea - Cartwright",11686,0,0,0,0,0,0,0,0,0,0,11686,
"Prestons - Edmondson Park",0,0,0,0,0,0,17580,0,0,0,0,17580,
"Warwick Farm",5798,0,0,0,0,0,0,0,0,0,0,5798,
"Gymea - Grays Point",0,0,0,0,0,0,0,0,0,17479,0,17479,
"Miranda - Yowie Bay",0,0,0,0,0,0,18230,0,0,0,0,18230,
"Sylvania - Taren Point",0,0,0,0,0,0,0,15940,0,0,0,15940,
"Caringbah",0,0,0,0,0,0,11764,0,0,0,0,11764,
"Caringbah South",0,0,0,0,0,0,0,0,0,12058,0,12058,
"Cronulla - Kurnell - Bundeena",0,0,0,0,0,0,0,0,23487,0,0,23487,
"Lilli Pilli - Port Hacking - Dolans Bay",0,0,0,0,0,0,0,0,0,3149,0,3149,
"Woolaware - Burraneer",0,0,0,0,0,0,0,0,0,7728,0,7728,
"Heathcote - Waterfall",0,0,0,0,0,0,0,0,6504,0,0,6504,
"Illawong - Alfords Point",0,0,0,0,0,0,0,0,0,10366,0,10366,
"Menai - Lucas Heights - Woronora",0,0,0,0,0,0,0,0,0,21128,0,21128,
"Oyster Bay - Como - Jannali",0,0,0,0,0,0,0,0,0,21254,0,21254,
"Royal National Park",0,0,0,0,0,0,0,0,0,0,24,24,
"Sutherland - Kirrawee",0,0,0,0,0,0,0,20874,0,0,0,20874,
"Engadine",0,0,0,0,0,0,0,0,16992,0,0,16992,
"Loftus - Yarrawarrah",0,0,0,0,0,0,0,0,0,7247,0,7247,
"Woronora Heights",0,0,0,0,0,0,0,0,0,3646,0,3646,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,0,0,0,0,0,419,419,
"No Usual Address (NSW)",0,0,0,0,0,0,0,0,0,0,12288,12288,
"Aranda",0,0,0,0,0,0,0,0,0,2397,0,2397,
"Belconnen",0,0,0,0,0,0,6651,0,0,0,0,6651,
"Bruce",0,0,0,0,0,0,0,0,0,6996,0,6996,
"Charnwood",0,0,0,2979,0,0,0,0,0,0,0,2979,
"Cook",0,0,0,0,0,0,0,0,2804,0,0,2804,
"Dunlop",0,0,0,0,0,0,0,0,7199,0,0,7199,
"Evatt",0,0,0,0,0,0,0,0,5329,0,0,5329,
"Florey",0,0,0,0,0,4769,0,0,0,0,0,4769,
"Flynn (ACT)",0,0,0,0,0,0,0,0,3355,0,0,3355,
"Fraser",0,0,0,0,0,0,0,0,2027,0,0,2027,
"Giralang",0,0,0,0,0,0,0,0,3312,0,0,3312,
"Gooromon",0,0,0,0,0,0,0,0,0,0,10,10,
"Hawker",0,0,0,0,0,0,0,0,2956,0,0,2956,
"Higgins",0,0,0,0,0,0,3069,0,0,0,0,3069,
"Holt",0,0,0,0,0,4623,0,0,0,0,0,4623,
"Kaleen",0,0,0,0,0,0,0,0,7270,0,0,7270,
"Latham",0,0,0,0,0,0,0,3637,0,0,0,3637,
"Lawson",0,0,0,0,0,0,142,0,0,0,0,142,
"Macgregor (ACT)",0,0,0,0,0,0,0,0,6794,0,0,6794,
"Macquarie",0,0,0,0,0,0,2703,0,0,0,0,2703,
"McKellar",0,0,0,0,0,0,0,0,2749,0,0,2749,
"Melba",0,0,0,0,0,0,0,3148,0,0,0,3148,
"Page",0,0,0,0,0,0,3023,0,0,0,0,3023,
"Scullin",0,0,0,0,0,2931,0,0,0,0,0,2931,
"Spence",0,0,0,0,0,0,0,2584,0,0,0,2584,
"Weetangera",0,0,0,0,0,0,0,0,0,2575,0,2575,
"Molonglo Corridor",0,0,0,0,0,0,0,0,0,0,14,14,
"West Belconnen",0,0,0,0,0,0,0,0,0,0,16,16,
"Hume",0,0,0,0,0,0,0,0,0,0,424,424,
"Kowen",0,0,0,0,0,0,0,0,0,39,0,39,
"Canberra East",837,0,0,0,0,0,0,0,0,0,0,837,
"Canberra Airport",0,0,0,0,0,0,0,100,0,0,0,100,
"Majura",0,0,0,0,0,0,0,0,0,175,0,175,
"Amaroo",0,0,0,0,0,0,0,0,0,5708,0,5708,
"Bonner",0,0,0,0,0,0,0,0,0,6730,0,6730,
"Casey",0,0,0,0,0,0,0,0,0,5759,0,5759,
"Crace",0,0,0,0,0,0,0,0,0,4456,0,4456,
"Forde",0,0,0,0,0,0,0,0,0,4307,0,4307,
"Franklin",0,0,0,0,0,0,0,0,0,6420,0,6420,
"Gungahlin",0,0,0,0,0,0,0,0,6131,0,0,6131,
"Hall",0,0,0,0,0,0,0,0,0,276,0,276,
"Harrison",0,0,0,0,0,0,0,0,0,7691,0,7691,
"Mitchell",0,0,0,0,0,0,0,0,0,0,3,3,
"Ngunnawal",0,0,0,0,0,0,0,0,10486,0,0,10486,
"Nicholls",0,0,0,0,0,0,0,0,0,6862,0,6862,
"Palmerston",0,0,0,0,0,0,0,5529,0,0,0,5529,
"Gungahlin - East",0,0,0,0,0,0,0,0,0,0,0,0,
"Gungahlin - West",0,0,0,0,0,0,0,0,0,0,0,0,
"Jacka",0,0,0,0,0,0,0,666,0,0,0,666,
"Kenny",0,0,0,0,0,0,0,0,0,0,10,10,
"Moncrieff",0,0,0,0,0,0,0,0,0,101,0,101,
"Taylor",0,0,0,0,0,0,0,0,0,0,0,0,
"Throsby",0,0,0,0,0,0,0,0,0,0,0,0,
"Acton",0,0,0,0,0,0,0,0,0,0,2086,2086,
"Ainslie",0,0,0,0,0,0,0,5183,0,0,0,5183,
"Braddon",0,0,0,0,0,0,0,0,5500,0,0,5500,
"Civic",0,0,0,0,0,0,0,0,0,4275,0,4275,
"Dickson",0,0,0,0,0,0,0,2148,0,0,0,2148,
"Downer",0,0,0,0,0,0,3660,0,0,0,0,3660,
"Hackett",0,0,0,0,0,0,0,0,2996,0,0,2996,
"Lyneham",0,0,0,0,0,0,0,5114,0,0,0,5114,
"O'Connor (ACT)",0,0,0,0,0,0,0,0,5477,0,0,5477,
"Turner",0,0,0,0,0,0,0,0,4049,0,0,4049,
"Watson",0,0,0,0,0,0,0,0,5865,0,0,5865,
"Black Mountain",0,0,0,0,0,0,0,0,0,0,0,0,
"Campbell",0,0,0,0,0,0,0,0,0,3220,0,3220,
"Duntroon",0,0,0,0,0,0,0,0,0,1774,0,1774,
"Parkes (ACT) - North",0,0,0,0,0,0,0,0,0,0,0,0,
"Reid",0,0,0,0,1640,0,0,0,0,0,0,1640,
"Russell",0,0,0,0,0,0,0,0,0,0,0,0,
"Deakin",0,0,0,0,0,0,0,0,0,2874,0,2874,
"Forrest",0,0,0,0,0,0,0,0,0,1609,0,1609,
"Griffith (ACT)",0,0,0,0,0,0,0,0,0,4576,0,4576,
"Lake Burley Griffin",0,0,0,0,0,0,0,0,0,0,0,0,
"Narrabundah",0,0,0,0,0,0,5956,0,0,0,0,5956,
"Parkes (ACT) - South",0,0,0,0,0,0,0,0,0,0,4,4,
"Red Hill (ACT)",0,0,0,0,0,0,0,0,3169,0,0,3169,
"Yarralumla",0,0,0,0,0,0,0,0,0,2888,0,2888,
"Barton",0,0,0,0,0,0,0,0,0,1436,0,1436,
"Fyshwick",0,0,0,0,0,0,0,0,0,0,54,54,
"Kingston (ACT)",0,0,0,0,0,0,0,0,0,4425,0,4425,
"Banks",0,0,0,0,0,0,0,4967,0,0,0,4967,
"Bonython",0,0,0,0,0,0,0,3783,0,0,0,3783,
"Calwell",0,0,0,0,0,0,0,0,5761,0,0,5761,
"Chisholm",0,0,0,0,0,0,0,5118,0,0,0,5118,
"Conder",0,0,0,0,0,0,0,5059,0,0,0,5059,
"Fadden",0,0,0,0,0,0,0,0,0,2953,0,2953,
"Gilmore",0,0,0,0,0,0,2751,0,0,0,0,2751,
"Gordon (ACT)",0,0,0,0,0,0,0,7610,0,0,0,7610,
"Gowrie (ACT)",0,0,0,0,0,0,0,0,3055,0,0,3055,
"Greenway",0,0,0,0,0,0,0,1892,0,0,0,1892,
"Isabella Plains",0,0,0,0,0,0,4403,0,0,0,0,4403,
"Kambah",0,0,0,0,0,0,0,14900,0,0,0,14900,
"Macarthur",0,0,0,0,0,0,0,0,0,1426,0,1426,
"Monash",0,0,0,0,0,0,0,0,5428,0,0,5428,
"Mount Taylor",0,0,0,0,0,0,0,0,0,0,0,0,
"Oxley (ACT)",0,0,0,0,0,0,1697,0,0,0,0,1697,
"Richardson",0,0,0,0,3008,0,0,0,0,0,0,3008,
"Theodore",0,0,0,0,0,0,0,3799,0,0,0,3799,
"Tuggeranong",0,0,0,0,0,0,0,0,0,0,22,22,
"Wanniassa",0,0,0,0,0,0,0,7511,0,0,0,7511,
"Tuggeranong - West",0,0,0,0,0,0,0,0,0,0,12,12,
"Chapman",0,0,0,0,0,0,0,0,0,2687,0,2687,
"Duffy",0,0,0,0,0,0,0,0,3162,0,0,3162,
"Fisher",0,0,0,0,0,0,0,0,3000,0,0,3000,
"Holder",0,0,0,0,0,0,0,0,0,2604,0,2604,
"Rivett",0,0,0,0,0,0,3190,0,0,0,0,3190,
"Stirling",0,0,0,0,0,0,0,2134,0,0,0,2134,
"Waramanga",0,0,0,0,0,0,0,2627,0,0,0,2627,
"Weston",0,0,0,0,0,0,0,0,3580,0,0,3580,
"Scrivener",0,0,0,0,0,0,0,0,0,0,4,4,
"Chifley",0,0,0,0,0,0,0,2407,0,0,0,2407,
"Curtin",0,0,0,0,0,0,0,0,0,5234,0,5234,
"Farrer",0,0,0,0,0,0,0,0,0,3224,0,3224,
"Garran",0,0,0,0,0,0,0,0,0,3499,0,3499,
"Hughes",0,0,0,0,0,0,0,0,2993,0,0,2993,
"Isaacs",0,0,0,0,0,0,0,0,0,2345,0,2345,
"Lyons (ACT)",0,0,0,0,0,3089,0,0,0,0,0,3089,
"Mawson",0,0,0,0,0,0,0,3254,0,0,0,3254,
"O'Malley",0,0,0,0,0,0,0,0,0,990,0,990,
"Pearce",0,0,0,0,0,0,0,0,2582,0,0,2582,
"Phillip",0,0,0,0,0,0,0,2935,0,0,0,2935,
"Torrens",0,0,0,0,0,0,0,0,2206,0,0,2206,
"Arboretum",0,0,0,0,0,0,0,0,0,0,10,10,
"Coombs",0,0,0,0,0,0,0,0,0,1810,0,1810,
"Denman Prospect",0,0,0,0,0,0,0,0,0,0,0,0,
"Molonglo",0,0,0,0,0,0,0,0,0,0,0,0,
"Molonglo - North",0,0,0,0,0,0,0,0,0,0,5,5,
"Wright",0,0,0,0,0,0,0,0,0,2755,0,2755,
"ACT - South West",0,0,0,0,0,0,0,0,0,561,0,561,
"Namadgi",0,0,0,0,0,0,0,0,0,41,0,41,
"Migratory - Offshore - Shipping (ACT)",0,0,0,0,0,0,0,0,0,0,0,0,
"No Usual Address (ACT)",0,0,0,0,0,0,0,0,0,0,541,541,
"Total",799544,711067,777796,808203,823202,711981,628880,649301,718341,1233093,16216,7877622,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
