Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"SA2 (UR)",
"Braddon",788,262,1582,284,253,1279,0,86,93,601,272,5500,
"Civic",532,128,1034,184,103,1671,0,20,76,435,105,4275,
"Dickson",307,83,532,105,134,443,0,62,33,160,294,2148,
"Downer",418,151,723,223,275,729,4,167,98,259,617,3660,
"Hackett",422,166,655,149,159,490,5,111,62,154,634,2996,
"Lyneham",701,254,1234,294,316,936,0,218,93,442,633,5114,
"O'Connor (ACT)",856,259,1343,256,258,1033,4,164,69,325,910,5477,
"Turner",794,193,1088,192,138,755,0,63,66,439,313,4049,
"Watson",760,254,1300,370,402,1007,0,191,111,352,1110,5865,
"Black Mountain",0,0,0,0,0,0,0,0,0,0,0,0,
"Campbell",563,164,755,197,134,552,0,64,61,243,497,3220,
"Duntroon",47,13,261,77,161,937,0,0,20,119,141,1774,
"Parkes (ACT) - North",0,0,0,0,0,0,0,0,0,0,0,0,
"Reid",234,79,385,93,85,336,0,49,41,189,161,1640,
"Russell",0,0,0,0,0,0,0,0,0,0,0,0,
"Deakin",408,153,712,180,94,481,0,100,71,145,536,2874,
"Forrest",277,66,431,98,61,254,0,31,32,151,215,1609,
"Griffith (ACT)",680,230,1153,280,247,673,0,131,79,450,649,4576,
"Lake Burley Griffin",0,0,0,0,0,0,0,0,0,0,0,0,
"Narrabundah",676,235,1108,350,417,1047,0,273,125,667,1051,5956,
"Parkes (ACT) - South",0,0,0,0,0,0,0,0,0,5,0,4,
"Red Hill (ACT)",393,149,740,152,123,597,0,116,57,227,619,3169,
"Yarralumla",472,153,687,207,140,486,0,74,67,189,413,2888,
"Barton",315,109,433,82,46,190,0,11,16,120,105,1436,
"Fyshwick",0,0,8,0,4,21,0,8,0,3,5,54,
"Kingston (ACT)",824,270,1363,315,207,622,0,59,63,371,334,4425,
"Banks",115,103,485,410,687,1447,0,213,123,239,1141,4967,
"Bonython",172,91,540,328,445,1088,4,161,98,151,692,3783,
"Calwell",195,130,683,548,813,1535,4,236,164,330,1131,5761,
"Chisholm",182,118,501,452,747,1480,3,244,116,272,1005,5118,
"Conder",140,105,552,429,685,1513,0,219,126,277,1025,5059,
"Fadden",254,143,585,272,241,653,0,113,71,104,524,2953,
"Gilmore",64,49,288,223,409,770,9,166,53,155,573,2751,
"Gordon (ACT)",266,150,838,683,977,2301,3,359,193,377,1464,7610,
"Gowrie (ACT)",155,83,446,290,357,749,0,140,62,155,609,3055,
"Greenway",174,57,416,164,170,432,0,71,60,125,214,1892,
"Isabella Plains",124,83,489,376,586,1232,0,192,96,279,945,4403,
"Kambah",729,446,2208,1291,1652,3627,7,733,408,837,2969,14900,
"Macarthur",72,51,260,131,198,322,0,43,22,68,264,1426,
"Monash",238,148,741,480,673,1373,0,265,177,449,890,5428,
"Mount Taylor",0,0,0,0,0,0,0,0,0,0,0,0,
"Oxley (ACT)",82,36,255,134,187,488,0,75,25,80,326,1697,
"Richardson",70,39,251,220,441,885,5,196,93,171,628,3008,
"Theodore",122,64,387,351,557,1122,0,141,88,159,812,3799,
"Tuggeranong",0,0,0,0,3,5,0,0,0,6,0,22,
"Wanniassa",409,227,1128,647,804,1872,10,343,211,398,1471,7511,
"Tuggeranong - West",0,0,0,0,0,5,0,0,0,0,4,12,
"Chapman",279,151,582,216,183,484,0,110,71,119,503,2687,
"Duffy",259,148,538,241,285,630,0,124,76,155,698,3162,
"Fisher",204,121,492,259,297,620,0,114,69,193,633,3000,
"Holder",219,98,524,221,223,522,0,102,59,116,522,2604,
"Rivett",191,129,515,252,294,712,0,150,80,191,678,3190,
"Stirling",156,66,353,152,195,436,0,143,63,193,385,2134,
"Waramanga",191,102,458,232,254,518,0,126,74,146,535,2627,
"Weston",314,149,657,256,261,665,4,141,83,370,677,3580,
"Scrivener",0,0,0,0,0,0,0,0,0,0,0,4,
"Chifley",214,101,505,192,208,465,0,100,62,136,425,2407,
"Curtin",644,219,1195,333,306,909,0,209,120,274,1023,5234,
"Farrer",310,144,622,288,221,709,3,133,72,135,595,3224,
"Garran",428,121,774,219,159,526,0,150,67,333,705,3499,
"Hughes",394,136,648,188,137,500,0,112,61,242,577,2993,
"Isaacs",263,96,492,182,137,552,0,87,77,109,346,2345,
"Lyons (ACT)",296,108,562,226,255,632,3,143,88,298,479,3089,
"Mawson",301,108,710,286,253,678,0,103,87,184,552,3254,
"O'Malley",125,36,231,65,46,205,0,39,22,66,170,990,
"Pearce",237,101,543,211,192,520,0,96,62,162,467,2582,
"Phillip",315,148,860,237,178,461,0,41,38,265,381,2935,
"Torrens",179,81,444,186,169,478,0,94,39,100,434,2206,
"Arboretum",0,0,0,0,0,5,0,0,0,6,0,10,
"Coombs",195,63,377,132,119,277,0,23,36,117,469,1810,
"Denman Prospect",0,0,0,0,0,0,0,0,0,0,0,0,
"Molonglo",0,0,0,0,0,0,0,0,0,0,0,0,
"Molonglo - North",0,0,0,0,0,0,0,0,0,3,0,5,
"Wright",293,92,736,205,192,453,0,30,49,201,507,2755,
"ACT - South West",34,11,63,58,94,113,0,11,6,49,126,561,
"Namadgi",0,0,5,0,14,5,0,4,0,8,7,41,
"Migratory - Offshore - Shipping (ACT)",0,0,0,0,0,0,0,0,0,0,0,0,
"No Usual Address (ACT)",40,11,76,32,52,152,0,23,10,115,37,541,
"Total",379309,116756,1048570,572896,934283,1925756,5851,527777,253208,652413,1460811,7877622,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
